block_num,latitude,longitude,total_pop
1,+38.915778,-077.063298,279
2,+38.914161,-077.065461,41
3,+38.913011,-077.065165,27
4,+38.910861,-077.062806,80
5,+38.912311,-077.061590,107
6,+38.912311,-077.059883,116
7,+38.911461,-077.058573,116
8,+38.911361,-077.057473,76
9,+38.911511,-077.059857,133
10,+38.910961,-077.060537,179
11,+38.911411,-077.064592,100
12,+38.912261,-077.064398,43
13,+38.908811,-077.053024,53
14,+38.905911,-077.054735,0
15,+38.908811,-077.055123,49
16,+38.909344,-077.055006,39
17,+38.909811,-077.052581,641
18,+38.910011,-077.055848,282
19,+38.908911,-077.056156,95
20,+38.907961,-077.056148,89
21,+38.907061,-077.056148,46
22,+38.906211,-077.056098,30
23,+38.907061,-077.057348,42
24,+38.907011,-077.058398,60
25,+38.907011,-077.059926,104
26,+38.906911,-077.061944,91
27,+38.906193,-077.061821,64
28,+38.905729,-077.061254,9
29,+38.905711,-077.059898,90
30,+38.906161,-077.058326,61
31,+38.906161,-077.057242,58
32,+38.905311,-077.057173,37
33,+38.905261,-077.058248,54
34,+38.904161,-077.058248,0
35,+38.904061,-077.059398,25
36,+38.904611,-077.060440,13
37,+38.904627,-077.061622,7
38,+38.905058,-077.061697,0
39,+38.904061,-077.061598,0
40,+38.904189,-077.060402,4
41,+38.903349,-077.060367,42
42,+38.903011,-077.059315,0
43,+38.902961,-077.058198,135
44,+38.903111,-077.057152,0
45,+38.903961,-077.057005,0
46,+38.904744,-077.056209,0
47,+38.904478,-077.055772,0
48,+38.904028,-077.056098,0
49,+38.904361,-077.056396,0
50,+38.902161,-077.058704,33
51,+38.902559,-077.060312,2
52,+38.902920,-077.061570,12
53,+38.901344,-077.059867,0
54,+38.896811,-077.062465,0
55,+38.899889,-077.062947,0
56,+38.909711,-077.057415,48
57,+38.909711,-077.058465,127
58,+38.909911,-077.060231,158
59,+38.909461,-077.059469,66
60,+38.908761,-077.059976,119
61,+38.908711,-077.062468,83
62,+38.909978,-077.064066,45
63,+38.909761,-077.062407,75
64,+38.907811,-077.062178,83
65,+38.907811,-077.059948,88
66,+38.907811,-077.058373,64
67,+38.908711,-077.058398,55
68,+38.908761,-077.057351,51
69,+38.907811,-077.057323,48
70,+38.907970,-077.074648,4467
71,+38.916694,-077.068924,0
72,+38.914961,-077.068498,166
73,+38.913944,-077.067282,45
74,+38.913111,-077.067045,66
75,+38.913061,-077.068418,99
76,+38.912161,-077.068379,87
77,+38.912211,-077.066834,111
78,+38.910911,-077.065572,28
79,+38.911211,-077.066798,121
80,+38.911161,-077.068321,87
81,+38.912357,-077.070464,132
82,+38.912189,-077.071011,185
83,+38.909902,-077.065224,82
84,+38.910111,-077.066771,30
85,+38.910111,-077.068303,77
86,+38.909111,-077.068273,72
87,+38.909128,-077.066398,123
88,+38.909111,-077.064948,106
89,+38.907978,-077.064661,75
90,+38.908161,-077.066723,103
91,+38.908111,-077.068248,92
92,+38.907111,-077.063911,75
93,+38.907111,-077.065325,47
94,+38.907061,-077.066723,98
95,+38.907061,-077.068198,101
96,+38.906061,-077.068148,96
97,+38.906061,-077.066698,84
98,+38.906061,-077.065298,66
99,+38.906061,-077.063723,108
100,+38.905161,-077.063643,18
101,+38.905311,-077.065248,52
102,+38.905311,-077.066227,108
103,+38.905211,-077.067170,53
104,+38.905211,-077.068148,40
105,+38.904361,-077.063906,103
106,+38.903408,-077.065278,197
107,+38.904461,-077.066619,4
108,+38.904511,-077.068173,0
109,+38.904678,-077.069565,0
110,+38.905261,-077.069998,50
111,+38.906061,-077.070698,64
112,+38.907011,-077.070773,43
113,+38.908111,-077.070823,113
114,+38.908111,-077.069523,116
115,+38.907061,-077.069448,105
116,+38.906061,-077.069373,10
117,+38.904244,-077.069098,0
118,+38.904240,-077.073757,0
119,+38.905674,-077.075865,0
120,+38.905411,-077.073050,7
121,+38.903978,-077.067341,0
122,+38.902711,-077.065214,0
123,+38.903076,-077.064190,21
124,+38.903361,-077.063048,60
125,+38.903761,-077.063073,44
126,+38.903761,-077.064273,80
127,+38.902411,-077.073622,0
128,+38.901711,-077.066248,0
129,+38.920411,-077.072361,243
130,+38.919311,-077.071341,57
131,+38.917961,-077.071284,159
132,+38.915911,-077.069623,93
133,+38.915911,-077.071973,220
134,+38.914911,-077.071873,123
135,+38.914861,-077.070092,145
136,+38.913961,-077.070026,89
137,+38.913961,-077.071798,105
138,+38.912961,-077.071773,0
139,+38.912961,-077.069998,0
140,+38.917806,-077.074966,366
141,+38.915131,-077.076242,764
142,+38.916354,-077.076794,35
143,+38.914861,-077.074792,101
144,+38.914911,-077.073423,101
145,+38.913961,-077.073348,117
146,+38.913461,-077.074748,0
147,+38.912961,-077.073298,135
148,+38.922044,-077.073811,123
149,+38.922011,-077.075763,193
150,+38.921561,-077.077525,159
151,+38.920944,-077.076349,105
152,+38.921061,-077.075409,93
153,+38.921111,-077.074516,85
154,+38.919611,-077.073609,165
155,+38.919861,-077.074715,120
156,+38.918861,-077.074198,8
157,+38.919361,-077.075424,113
158,+38.919861,-077.076549,110
159,+38.919911,-077.077549,130
160,+38.921611,-077.078498,145
161,+38.921561,-077.079460,201
162,+38.922144,-077.080369,69
163,+38.921311,-077.080424,163
164,+38.920261,-077.080874,626
165,+38.919911,-077.079399,118
166,+38.919911,-077.078524,127
167,+38.929561,-077.069796,2
168,+38.927561,-077.072898,0
169,+38.926761,-077.072748,29
170,+38.926544,-077.071548,23
171,+38.927278,-077.071440,0
172,+38.926761,-077.069848,52
173,+38.926761,-077.068223,40
174,+38.926761,-077.067048,45
