block_num,latitude,longitude,total_pop
1,+43.620193,-116.196395,30
2,+43.620804,-116.197395,25
3,+43.621388,-116.198614,2
4,+43.621995,-116.199706,70
5,+43.622583,-116.200849,28
6,+43.623213,-116.201983,16
7,+43.623789,-116.203264,26
8,+43.624418,-116.204398,36
9,+43.624990,-116.205600,37
10,+43.625640,-116.206718,39
11,+43.626194,-116.207649,9
12,+43.626182,-116.208542,0
13,+43.626039,-116.209826,42
14,+43.625839,-116.211707,38
15,+43.625139,-116.212377,17
16,+43.624639,-116.211225,0
17,+43.625289,-116.210594,3
18,+43.624740,-116.209367,0
19,+43.625490,-116.208651,34
20,+43.624890,-116.207450,23
21,+43.624290,-116.206300,11
22,+43.623690,-116.205144,38
23,+43.623140,-116.203816,25
24,+43.622490,-116.202806,0
25,+43.621890,-116.201637,32
26,+43.621240,-116.200478,31
27,+43.620690,-116.199227,48
28,+43.620090,-116.198150,47
29,+43.619440,-116.196936,36
30,+43.618940,-116.195630,47
31,+43.619477,-116.195417,12
32,+43.618276,-116.195068,7
33,+43.617590,-116.195263,13
34,+43.618090,-116.196518,6
35,+43.618690,-116.197600,0
36,+43.619340,-116.198896,2
37,+43.619890,-116.200000,13
38,+43.620490,-116.201056,0
39,+43.621690,-116.203584,0
40,+43.622890,-116.205899,13
41,+43.623540,-116.207096,22
42,+43.624140,-116.208298,91
43,+43.623390,-116.209039,0
44,+43.623990,-116.210243,0
45,+43.622790,-116.207756,6
46,+43.622140,-116.206603,81
47,+43.621540,-116.205446,54
48,+43.620940,-116.204254,46
49,+43.620290,-116.203100,0
50,+43.619740,-116.201850,0
51,+43.619140,-116.200781,0
52,+43.618640,-116.199518,0
53,+43.617990,-116.198350,0
54,+43.617390,-116.197193,0
55,+43.616790,-116.196050,0
56,+43.616190,-116.194887,0
57,+43.616940,-116.194395,5
58,+43.617597,-116.194240,0
59,+43.616306,-116.193692,0
60,+43.615640,-116.193764,3
61,+43.614909,-116.193095,0
62,+43.613559,-116.192500,0
63,+43.614290,-116.193306,17
64,+43.614840,-116.194527,16
65,+43.615440,-116.195513,0
66,+43.616040,-116.196750,0
67,+43.616640,-116.197900,0
68,+43.617490,-116.199647,0
69,+43.617040,-116.201213,0
70,+43.616840,-116.200180,0
71,+43.616340,-116.199825,0
72,+43.615840,-116.198650,0
73,+43.615290,-116.197450,29
74,+43.614640,-116.196387,10
75,+43.614090,-116.195150,38
76,+43.613490,-116.194000,0
77,+43.612940,-116.192791,0
78,+43.612090,-116.193633,0
79,+43.612690,-116.194719,0
80,+43.613221,-116.196002,71
81,+43.613840,-116.197065,0
82,+43.614490,-116.198287,6
83,+43.615090,-116.199361,0
84,+43.615640,-116.200508,0
85,+43.616240,-116.201741,63
86,+43.615440,-116.202436,24
87,+43.614690,-116.203216,0
88,+43.614240,-116.204516,3
89,+43.613090,-116.204750,0
90,+43.612490,-116.203539,0
91,+43.613290,-116.202743,7
92,+43.614090,-116.202016,0
93,+43.614840,-116.201300,0
94,+43.614240,-116.200237,0
95,+43.613690,-116.198962,0
96,+43.613140,-116.197898,1
97,+43.612490,-116.196808,0
98,+43.611871,-116.195631,34
99,+43.611360,-116.194263,0
100,+43.611029,-116.195338,24
101,+43.612390,-116.198585,0
102,+43.612990,-116.199750,49
103,+43.613590,-116.200812,5
