block_num,latitude,longitude,total_pop
1,+41.571591,-070.697456,0
2,+41.603906,-070.252664,0
3,+41.665579,-069.934011,0
4,+41.761828,-070.119531,0
5,+41.731228,-070.339669,70
6,+41.734915,-070.387402,2
7,+41.736168,-070.377415,3
8,+41.734321,-070.388504,0
9,+41.725677,-070.396924,7
10,+41.722337,-070.394998,105
11,+41.718471,-070.368496,87
12,+41.713494,-070.386653,89
13,+41.714638,-070.392093,5
14,+41.715828,-070.393593,18
15,+41.717646,-070.398827,174
16,+41.719380,-070.399590,27
17,+41.720045,-070.402656,0
18,+41.716392,-070.406025,0
19,+41.715046,-070.401048,125
20,+41.712201,-070.397411,58
21,+41.711928,-070.391857,103
22,+41.706964,-070.383741,95
23,+41.710696,-070.381142,33
24,+41.708643,-070.375682,20
25,+41.713421,-070.346348,20
26,+41.711420,-070.367696,2
27,+41.706557,-070.370377,13
28,+41.706310,-070.370482,0
29,+41.706920,-070.376444,20
30,+41.704540,-070.381388,50
31,+41.703191,-070.393295,314
32,+41.709427,-070.404864,26
33,+41.713316,-070.404163,75
34,+41.710577,-070.399442,22
35,+41.706155,-070.389098,15
36,+41.706803,-070.386985,0
37,+41.698709,-070.383707,0
38,+41.698604,-070.383194,0
39,+41.700686,-070.372743,82
40,+41.703086,-070.363018,0
41,+41.699987,-070.354412,22
42,+41.698351,-070.346890,57
43,+41.700457,-070.348733,0
44,+41.698787,-070.345408,0
45,+41.695679,-070.344411,0
46,+41.695444,-070.346301,35
47,+41.695955,-070.350606,63
48,+41.694808,-070.347746,7
49,+41.692513,-070.348101,46
50,+41.694531,-070.354361,43
51,+41.695655,-070.353580,0
52,+41.697862,-070.355227,0
53,+41.692353,-070.361522,66
54,+41.694000,-070.372587,39
55,+41.697877,-070.385088,4
56,+41.689338,-070.350467,26
57,+41.689849,-070.349904,23
58,+41.698778,-070.339039,11
59,+41.705864,-070.334117,33
60,+41.701197,-070.325633,14
61,+41.700545,-070.327760,10
62,+41.699765,-070.332189,19
63,+41.699184,-070.335517,8
64,+41.717281,-070.328814,0
65,+41.726813,-070.352271,0
66,+41.692278,-070.351514,0
67,+41.709102,-070.384547,0
68,+41.717826,-070.354653,0
69,+41.722961,-070.347760,0
70,+41.727928,-070.335172,0
71,+41.721651,-070.297728,0
72,+41.722689,-070.286626,0
73,+41.722063,-070.333946,0
74,+41.705994,-070.300443,2
75,+41.703272,-070.303833,66
76,+41.704523,-070.299936,2
77,+41.700162,-070.303722,7
78,+41.700322,-070.306864,16
79,+41.702128,-070.309348,50
80,+41.704325,-070.308570,0
81,+41.709533,-070.309427,67
82,+41.708626,-070.307110,13
83,+41.708626,-070.305840,6
84,+41.707893,-070.305865,0
85,+41.705987,-070.315282,11
86,+41.708131,-070.319501,49
87,+41.701871,-070.316710,82
88,+41.702677,-070.318213,5
89,+41.701819,-070.322143,16
90,+41.692883,-070.320202,126
91,+41.697429,-070.307464,123
92,+41.699059,-070.307612,4
93,+41.698999,-070.301811,16
94,+41.717843,-070.316457,0
