block_num,latitude,longitude,total_pop
1,+39.715862,-078.344315,39
2,+39.721782,-078.358049,5
3,+39.719273,-078.366673,1
4,+39.719883,-078.377896,29
5,+39.717500,-078.388482,5
6,+39.704888,-078.412961,91
7,+39.717092,-078.413816,28
8,+39.722452,-078.424246,2
9,+39.694462,-078.405672,0
10,+39.693249,-078.400709,17
11,+39.698630,-078.390995,15
12,+39.703205,-078.385563,15
13,+39.704003,-078.372500,20
14,+39.710813,-078.366944,57
15,+39.708958,-078.354567,10
16,+39.703330,-078.354760,0
17,+39.702463,-078.352325,0
18,+39.702114,-078.352775,0
19,+39.706053,-078.345244,0
20,+39.706174,-078.346030,0
21,+39.706719,-078.341410,0
22,+39.706969,-078.335624,0
23,+39.707796,-078.331493,0
24,+39.706542,-078.327976,0
25,+39.705608,-078.327641,0
26,+39.702339,-078.330944,16
27,+39.695561,-078.354394,54
28,+39.702891,-078.359523,0
29,+39.702550,-078.357198,0
30,+39.699865,-078.367941,27
31,+39.701573,-078.370068,0
32,+39.700043,-078.383987,0
33,+39.665767,-078.409421,15
34,+39.670182,-078.388171,118
35,+39.680971,-078.368341,8
36,+39.666814,-078.367574,11
37,+39.674070,-078.352841,10
38,+39.682524,-078.349404,13
39,+39.677798,-078.351017,2
40,+39.669004,-078.340218,0
41,+39.691127,-078.325805,37
42,+39.702499,-078.320001,1
43,+39.706602,-078.336043,4
44,+39.664022,-078.350390,2
45,+39.652053,-078.355033,23
46,+39.651259,-078.351124,0
47,+39.644445,-078.354562,10
48,+39.641109,-078.377207,40
49,+39.644147,-078.385987,0
50,+39.651673,-078.389205,0
51,+39.656430,-078.398609,0
52,+39.659024,-078.415805,0
53,+39.684401,-078.423527,0
54,+39.687717,-078.415112,0
55,+39.655455,-078.446235,0
56,+39.650713,-078.436406,0
57,+39.644159,-078.414444,0
58,+39.636170,-078.398813,16
59,+39.628893,-078.413275,21
60,+39.628726,-078.397668,0
61,+39.628068,-078.393340,12
62,+39.617103,-078.387637,15
63,+39.622481,-078.395250,15
64,+39.626197,-078.387993,0
65,+39.624628,-078.386798,0
66,+39.603440,-078.423879,0
67,+39.602939,-078.425765,0
68,+39.603492,-078.434039,0
69,+39.609453,-078.451063,0
70,+39.609286,-078.464469,4
71,+39.628938,-078.465565,0
72,+39.603888,-078.486979,0
73,+39.604192,-078.495906,0
74,+39.630199,-078.478982,0
75,+39.624748,-078.443728,0
76,+39.627383,-078.435789,0
77,+39.616681,-078.444214,0
78,+39.613245,-078.442283,0
79,+39.609044,-078.442505,0
80,+39.606784,-078.455583,0
81,+39.604059,-078.461149,0
82,+39.599651,-078.427931,0
83,+39.601821,-078.425384,0
84,+39.630311,-078.377241,0
85,+39.678813,-078.438336,35
86,+39.675048,-078.452379,20
87,+39.676598,-078.457822,0
88,+39.675237,-078.458273,0
89,+39.671531,-078.458760,81
90,+39.664768,-078.446043,3
91,+39.667507,-078.439495,0
92,+39.660944,-078.431203,2
93,+39.656750,-078.453055,0
94,+39.661816,-078.459226,0
95,+39.550197,-078.461810,0
96,+39.590941,-078.401543,0
97,+39.592074,-078.408889,0
98,+39.597698,-078.419517,0
99,+39.589257,-078.418068,0
100,+39.596797,-078.429160,0
101,+39.598976,-078.433288,0
102,+39.600589,-078.454389,0
103,+39.601759,-078.469727,0
104,+39.602370,-078.481505,0
105,+39.603469,-078.485045,0
106,+39.602963,-078.486648,0
107,+39.603435,-078.488459,0
108,+39.603904,-078.490056,0
109,+39.583867,-078.497675,9
110,+39.603795,-078.494305,0
111,+39.603160,-078.498114,0
112,+39.597301,-078.520157,33
113,+39.604269,-078.506101,0
114,+39.576614,-078.532294,6
115,+39.596794,-078.547181,0
116,+39.600135,-078.553066,0
117,+39.605611,-078.550950,2
118,+39.604546,-078.569168,0
119,+39.608744,-078.588967,0
120,+39.604717,-078.589321,5
121,+39.590503,-078.576641,23
122,+39.579649,-078.558269,31
123,+39.590999,-078.554822,0
124,+39.597750,-078.557678,0
125,+39.599766,-078.557449,0
126,+39.579685,-078.576064,8
127,+39.582087,-078.580899,42
128,+39.577221,-078.589642,5
129,+39.587187,-078.591593,0
130,+39.581855,-078.604575,69
131,+39.607040,-078.599633,0
132,+39.604553,-078.601477,0
133,+39.602669,-078.599757,0
134,+39.608110,-078.627998,163
135,+39.613765,-078.654496,0
136,+39.607342,-078.655926,0
137,+39.601855,-078.654314,0
138,+39.599178,-078.652840,0
139,+39.569190,-078.640464,0
140,+39.567399,-078.643088,2
141,+39.560707,-078.638084,129
142,+39.567080,-078.631810,14
143,+39.584104,-078.615736,44
144,+39.573450,-078.619366,2
145,+39.561317,-078.617599,0
146,+39.553245,-078.616994,28
147,+39.558519,-078.621081,6
148,+39.549066,-078.621074,71
149,+39.543385,-078.617657,22
150,+39.546273,-078.620937,5
151,+39.546055,-078.624969,0
152,+39.553984,-078.640388,21
153,+39.559299,-078.650000,2
154,+39.564183,-078.655142,22
155,+39.541423,-078.614060,50
156,+39.541857,-078.609441,19
157,+39.543372,-078.612222,3
158,+39.541016,-078.609109,4
159,+39.540910,-078.603457,4
160,+39.541667,-078.606735,0
161,+39.541406,-078.603797,0
162,+39.541773,-078.603110,0
163,+39.567998,-078.600240,32
164,+39.561766,-078.588673,31
165,+39.569243,-078.583172,2
166,+39.571643,-078.576253,3
167,+39.573244,-078.577617,0
168,+39.558010,-078.570242,0
169,+39.555640,-078.569806,0
170,+39.547994,-078.569402,25
171,+39.557396,-078.567922,0
172,+39.552119,-078.572184,0
173,+39.554230,-078.555239,0
174,+39.554183,-078.537750,3
175,+39.553358,-078.523696,0
176,+39.564593,-078.517291,4
177,+39.553994,-078.511306,20
178,+39.563598,-078.501863,0
179,+39.553813,-078.502186,0
180,+39.575522,-078.486590,0
181,+39.594073,-078.463575,0
182,+39.573139,-078.469352,2
183,+39.592680,-078.429949,0
184,+39.584104,-078.415368,0
185,+39.582963,-078.408144,0
186,+39.554596,-078.439698,0
187,+39.543930,-078.460647,0
188,+39.541681,-078.458008,0
189,+39.542564,-078.453148,0
190,+39.540925,-078.452644,0
191,+39.540811,-078.451079,0
192,+39.539672,-078.465712,7
193,+39.555739,-078.480223,31
194,+39.545292,-078.468353,0
195,+39.536766,-078.477699,3
196,+39.537409,-078.480602,1
197,+39.538973,-078.485146,0
198,+39.539694,-078.484476,0
199,+39.540037,-078.488160,3
200,+39.541446,-078.489854,0
201,+39.540732,-078.492484,5
202,+39.542489,-078.494145,6
203,+39.550978,-078.496278,5
204,+39.542713,-078.496791,0
205,+39.545986,-078.505487,0
206,+39.542790,-078.510166,0
207,+39.534918,-078.492394,19
208,+39.540739,-078.498042,0
209,+39.542487,-078.507392,0
210,+39.540877,-078.524689,17
211,+39.528780,-078.524907,4
212,+39.522979,-078.496960,19
213,+39.528636,-078.515103,3
214,+39.528740,-078.489505,0
215,+39.530493,-078.492058,0
216,+39.520203,-078.486189,0
217,+39.527977,-078.474989,7
218,+39.532963,-078.464793,0
219,+39.518853,-078.489621,0
220,+39.524725,-078.545041,2
221,+39.536126,-078.565018,34
222,+39.543753,-078.579913,12
223,+39.544639,-078.589072,4
224,+39.542635,-078.590592,34
225,+39.542001,-078.595443,0
226,+39.541564,-078.597744,0
227,+39.541434,-078.590429,3
228,+39.539193,-078.595473,3
229,+39.540149,-078.607209,0
230,+39.536363,-078.605157,0
231,+39.523912,-078.565967,2
232,+39.532561,-078.586160,0
233,+39.544960,-078.548347,6
234,+39.549409,-078.544822,8
235,+39.534211,-078.543930,10
236,+39.531464,-078.543899,0
237,+39.530442,-078.544930,0
238,+39.580174,-078.461325,0
239,+39.533002,-078.604445,0
240,+39.528535,-078.584859,0
241,+39.707875,-078.442833,11
242,+39.715892,-078.445345,0
243,+39.721117,-078.450707,6
244,+39.713306,-078.446025,0
245,+39.712527,-078.460095,5
246,+39.715336,-078.468876,0
247,+39.717429,-078.461998,1
248,+39.714042,-078.486339,18
249,+39.710457,-078.505029,17
250,+39.716927,-078.503536,0
251,+39.718794,-078.504133,0
252,+39.714870,-078.507376,0
253,+39.722699,-078.508094,0
254,+39.722163,-078.512948,0
255,+39.713145,-078.520778,0
256,+39.715684,-078.519911,0
257,+39.721596,-078.528915,0
258,+39.720233,-078.538087,2
259,+39.722199,-078.541998,4
260,+39.718168,-078.539624,2
261,+39.704919,-078.557304,54
262,+39.714341,-078.554472,2
263,+39.713797,-078.556373,0
264,+39.719453,-078.564542,56
265,+39.708672,-078.562225,6
266,+39.709226,-078.566752,0
267,+39.713108,-078.568956,0
268,+39.713599,-078.567634,0
269,+39.717806,-078.575982,0
270,+39.720081,-078.584770,16
271,+39.720784,-078.591557,2
272,+39.717985,-078.599172,43
273,+39.712960,-078.617908,23
274,+39.705159,-078.625742,0
275,+39.694171,-078.622884,31
276,+39.710049,-078.611563,6
277,+39.711773,-078.612246,0
278,+39.710922,-078.615659,2
279,+39.705909,-078.619643,0
280,+39.707146,-078.615099,0
281,+39.708955,-078.605531,17
282,+39.709992,-078.603787,0
283,+39.710754,-078.580708,47
284,+39.715715,-078.580209,22
285,+39.706577,-078.582314,0
286,+39.706226,-078.575480,0
287,+39.706790,-078.573352,3
288,+39.705211,-078.566780,0
289,+39.704325,-078.567333,0
290,+39.704974,-078.568636,0
291,+39.705633,-078.573288,25
292,+39.706154,-078.580658,6
293,+39.706255,-078.583084,0
294,+39.706461,-078.587532,1
295,+39.706655,-078.592076,4
296,+39.706486,-078.594238,5
297,+39.701621,-078.590002,216
298,+39.706187,-078.587918,0
299,+39.704148,-078.590332,0
300,+39.709556,-078.597909,0
301,+39.712736,-078.602075,10
302,+39.714781,-078.605635,0
303,+39.713425,-078.596444,5
304,+39.693836,-078.600433,0
305,+39.688248,-078.602616,25
306,+39.683447,-078.590587,2
307,+39.666364,-078.588226,26
308,+39.693746,-078.567980,59
309,+39.702240,-078.566459,5
310,+39.703011,-078.565491,20
311,+39.703330,-078.567825,0
312,+39.701419,-078.565837,0
313,+39.701191,-078.564724,0
314,+39.700942,-078.563286,4
315,+39.698243,-078.560907,0
316,+39.696997,-078.557636,0
317,+39.696730,-078.558283,0
318,+39.694587,-078.551310,30
319,+39.695196,-078.550963,12
320,+39.695675,-078.551454,0
321,+39.702107,-078.546189,11
322,+39.712928,-078.541466,2
323,+39.716619,-078.537372,0
324,+39.714362,-078.539617,7
325,+39.711904,-078.539162,2
326,+39.714321,-078.534910,2
327,+39.700722,-078.526399,14
328,+39.711424,-078.538551,0
329,+39.697548,-078.538933,0
330,+39.693568,-078.536025,0
331,+39.695712,-078.517353,0
332,+39.690246,-078.505407,0
333,+39.689843,-078.503492,0
334,+39.697826,-078.495950,13
335,+39.694126,-078.507706,0
336,+39.682517,-078.514108,37
337,+39.693010,-078.541143,0
338,+39.694792,-078.547176,0
339,+39.699353,-078.548424,0
340,+39.690479,-078.553968,26
341,+39.692113,-078.559682,0
342,+39.675816,-078.550512,3
343,+39.672788,-078.531436,3
344,+39.666254,-078.512469,4
345,+39.669032,-078.481277,16
346,+39.675905,-078.469850,12
347,+39.677469,-078.467232,0
348,+39.677394,-078.461297,4
349,+39.678023,-078.467936,0
350,+39.677168,-078.470984,0
351,+39.679468,-078.478941,0
352,+39.682455,-078.471940,0
353,+39.694707,-078.476485,3
354,+39.696305,-078.466027,0
355,+39.704523,-078.465752,0
356,+39.698753,-078.470378,5
357,+39.689532,-078.462719,0
358,+39.688903,-078.453974,0
359,+39.688009,-078.446085,28
360,+39.682565,-078.456546,0
361,+39.677032,-078.460608,0
362,+39.676729,-078.461034,0
363,+39.659782,-078.472526,0
364,+39.663653,-078.492802,0
365,+39.661801,-078.513178,32
