block_num,latitude,longitude,total_pop
1,+44.099840,-070.225244,115
2,+44.099523,-070.227676,40
3,+44.099673,-070.228459,0
4,+44.100023,-070.228893,1
5,+44.099173,-070.229922,38
6,+44.098706,-070.228972,41
7,+44.098373,-070.228144,41
8,+44.098123,-070.226972,120
9,+44.099023,-070.226989,0
10,+44.098340,-070.225364,0
11,+44.096473,-070.227670,88
12,+44.096623,-070.228697,57
13,+44.096673,-070.229679,40
14,+44.098040,-070.229392,0
15,+44.098506,-070.230245,0
16,+44.095073,-070.230974,0
17,+44.095424,-070.230407,12
18,+44.094723,-070.230024,27
19,+44.094723,-070.229305,78
20,+44.094773,-070.228247,89
21,+44.093973,-070.228497,30
22,+44.100073,-070.222521,0
23,+44.093440,-070.225270,246
24,+44.097006,-070.225451,0
25,+44.095473,-070.226538,53
26,+44.094723,-070.226627,95
27,+44.093923,-070.226869,62
28,+44.093073,-070.227072,59
29,+44.093173,-070.228424,41
30,+44.093323,-070.229112,32
31,+44.092373,-070.229179,34
32,+44.091206,-070.230263,0
33,+44.089323,-070.230666,12
34,+44.091773,-070.227389,0
35,+44.089823,-070.228853,38
36,+44.091406,-070.225119,70
37,+44.089606,-070.224525,118
38,+44.090540,-070.225703,37
39,+44.088857,-070.224443,34
40,+44.089723,-070.231148,12
41,+44.088823,-070.232034,4
42,+44.087740,-070.232094,3
43,+44.087040,-070.231908,0
44,+44.083523,-070.232520,2
45,+44.081740,-070.233130,0
46,+44.084773,-070.230160,0
47,+44.090206,-070.227352,0
48,+44.089773,-070.222850,0
49,+44.095573,-070.223981,0
50,+44.111539,-070.218834,0
51,+44.110572,-070.221585,250
52,+44.108639,-070.224634,13
53,+44.110222,-070.226262,11
54,+44.112772,-070.224739,0
55,+44.112772,-070.226215,59
56,+44.111372,-070.226853,43
57,+44.109072,-070.226866,11
58,+44.109125,-070.228706,0
59,+44.107722,-070.231221,66
60,+44.110339,-070.233935,119
61,+44.106422,-070.231218,92
62,+44.106272,-070.229947,32
63,+44.106572,-070.227724,72
64,+44.105472,-070.229135,61
65,+44.104572,-070.228235,50
66,+44.103173,-070.226860,54
67,+44.104173,-070.226648,44
68,+44.104805,-070.226180,2
69,+44.108622,-070.220807,0
70,+44.143272,-070.225587,9
71,+44.143172,-070.226472,19
72,+44.144172,-070.226971,0
73,+44.142522,-070.228059,8
74,+44.142089,-070.227095,0
75,+44.138139,-070.227206,37
76,+44.136722,-070.227280,16
77,+44.134372,-070.227278,39
78,+44.129622,-070.226171,14
79,+44.128972,-070.226361,10
80,+44.128322,-070.226467,5
81,+44.121472,-070.229241,11
82,+44.121272,-070.223866,18
83,+44.119967,-070.223885,0
84,+44.120572,-070.226492,0
85,+44.117504,-070.229555,399
86,+44.118122,-070.227288,37
87,+44.116572,-070.221246,307
88,+44.118972,-070.217916,39
89,+44.117776,-070.222637,13
90,+44.119139,-070.224531,16
91,+44.115339,-070.225850,35
92,+44.114205,-070.225298,36
93,+44.113899,-070.229812,728
94,+44.110741,-070.230365,25
95,+44.109804,-070.228217,29
96,+44.175738,-070.219677,8
97,+44.181904,-070.230570,5
98,+44.180421,-070.235167,71
99,+44.184438,-070.238898,17
100,+44.177521,-070.244060,86
101,+44.189371,-070.266373,24
102,+44.190304,-070.279458,25
103,+44.185821,-070.272911,2
104,+44.179321,-070.273342,17
105,+44.176004,-070.273668,9
106,+44.184871,-070.289803,20
107,+44.197620,-070.288760,0
108,+44.196903,-070.290339,5
109,+44.197303,-070.285804,0
110,+44.179304,-070.294337,2
111,+44.176671,-070.286709,11
112,+44.168271,-070.289257,83
113,+44.170621,-070.300356,0
114,+44.154871,-070.285894,37
115,+44.155571,-070.280140,16
116,+44.153921,-070.273873,101
117,+44.146170,-070.265934,17
118,+44.125005,-070.250121,217
119,+44.138072,-070.229940,0
120,+44.137005,-070.230083,0
121,+44.137539,-070.234280,2
122,+44.141175,-070.231186,3
123,+44.147272,-070.230697,10
124,+44.157921,-070.251697,18
125,+44.172904,-070.260928,80
126,+44.179971,-070.258658,30
127,+44.167121,-070.265780,2
128,+44.159504,-070.237682,16
129,+44.168171,-070.234538,25
130,+44.167071,-070.233969,0
131,+44.160021,-070.222946,174
132,+44.175388,-070.232498,12
133,+44.165871,-070.207397,0
134,+44.138033,-070.221160,4
135,+44.135072,-070.217663,413
136,+44.136307,-070.220952,2
137,+44.138723,-070.225704,8
138,+44.130555,-070.223952,2
139,+44.123472,-070.219253,62
140,+44.119339,-070.213912,7
141,+44.123362,-070.238273,3
142,+44.118772,-070.239696,66
143,+44.121739,-070.251699,0
144,+44.127455,-070.268838,3
145,+44.136672,-070.275060,72
146,+44.140404,-070.285691,27
147,+44.149171,-070.289848,6
148,+44.131972,-070.292921,49
149,+44.126822,-070.297642,0
150,+44.141539,-070.231828,3
151,+44.127445,-070.208437,0
152,+44.180721,-070.219497,0
153,+44.197870,-070.286564,0
154,+44.178404,-070.280445,0
155,+44.151271,-070.249848,0
156,+44.159988,-070.242214,0
