block_num,latitude,longitude,total_pop
1,+41.765001,-071.332295,22
2,+41.765368,-071.332146,6
3,+41.764451,-071.332376,34
4,+41.764601,-071.334169,16
5,+41.765134,-071.333374,20
6,+41.764034,-071.333602,32
7,+41.763301,-071.334375,35
8,+41.763218,-071.335863,17
9,+41.760908,-071.335380,612
10,+41.759002,-071.334805,19
11,+41.758087,-071.332675,10
12,+41.758538,-071.331366,0
13,+41.756901,-071.331464,45
14,+41.757001,-071.333190,35
15,+41.753695,-071.336581,179
16,+41.756651,-071.335317,32
17,+41.756051,-071.335630,18
18,+41.755401,-071.334261,23
19,+41.755401,-071.333322,26
20,+41.755351,-071.332470,29
21,+41.755401,-071.331745,35
22,+41.755401,-071.330976,20
23,+41.753101,-071.331381,36
24,+41.753001,-071.333628,32
25,+41.753701,-071.333875,21
26,+41.752351,-071.333570,20
27,+41.752451,-071.331299,36
28,+41.749101,-071.333156,256
29,+41.750251,-071.336195,23
30,+41.748401,-071.337124,34
31,+41.748551,-071.338698,149
32,+41.747101,-071.337257,31
33,+41.750351,-071.338573,23
34,+41.750734,-071.339207,7
35,+41.754651,-071.339234,51
36,+41.750201,-071.340013,4
37,+41.758651,-071.339320,5
38,+41.759451,-071.340928,6
39,+41.743934,-071.333235,263
40,+41.741669,-071.331709,0
41,+41.741568,-071.334164,39
42,+41.742051,-071.335455,27
43,+41.742801,-071.335398,22
44,+41.743218,-071.335442,16
45,+41.744551,-071.335581,17
46,+41.745951,-071.336027,48
47,+41.746334,-071.337282,33
48,+41.746051,-071.338222,36
49,+41.745801,-071.340347,42
50,+41.744951,-071.338224,7
51,+41.744901,-071.337345,12
52,+41.744968,-071.336370,20
53,+41.743851,-071.337424,27
54,+41.743951,-071.338266,36
55,+41.743951,-071.339289,32
56,+41.744501,-071.340405,22
57,+41.741451,-071.335551,25
58,+41.740968,-071.335440,14
59,+41.739401,-071.331595,21
60,+41.737268,-071.336012,94
61,+41.743277,-071.346313,180
62,+41.747291,-071.347253,4
63,+41.747951,-071.347019,21
64,+41.748151,-071.348030,14
65,+41.747924,-071.349131,50
66,+41.747390,-071.348263,2
67,+41.746591,-071.348052,25
68,+41.746764,-071.349446,17
69,+41.745801,-071.349197,49
70,+41.745651,-071.350046,41
71,+41.745168,-071.350613,47
72,+41.745734,-071.351880,7
73,+41.744418,-071.350938,0
74,+41.743284,-071.349494,26
75,+41.744151,-071.349463,34
76,+41.744834,-071.348655,25
77,+41.741151,-071.347561,5
78,+41.740134,-071.346479,26
79,+41.740501,-071.345205,40
80,+41.741751,-071.344670,51
81,+41.742151,-071.342866,22
82,+41.742801,-071.342970,15
83,+41.743351,-071.342945,22
84,+41.743951,-071.342633,25
85,+41.744601,-071.342687,45
86,+41.743351,-071.341470,5
87,+41.742851,-071.341437,19
88,+41.742251,-071.341258,16
89,+41.741551,-071.340975,22
90,+41.741501,-071.342745,22
91,+41.740901,-071.342700,19
92,+41.741001,-071.340854,35
93,+41.739271,-071.341282,124
94,+41.740201,-071.344037,38
95,+41.738901,-071.344146,22
96,+41.738168,-071.345254,33
97,+41.738001,-071.340257,16
98,+41.731551,-071.339015,41
99,+41.733704,-071.338039,11
100,+41.736651,-071.353921,0
101,+41.758751,-071.341092,31
102,+41.758001,-071.342786,37
103,+41.757251,-071.344249,7
104,+41.756651,-071.344430,10
105,+41.756351,-071.345758,4
106,+41.755951,-071.346187,18
107,+41.755351,-071.346786,22
108,+41.755234,-071.347601,6
109,+41.754701,-071.348045,10
110,+41.754451,-071.346818,8
111,+41.754851,-071.345068,26
112,+41.755851,-071.343113,8
113,+41.756451,-071.343080,27
114,+41.756301,-071.341117,30
115,+41.757001,-071.341145,27
116,+41.757551,-071.341095,21
117,+41.758101,-071.341045,34
118,+41.755601,-071.341135,35
119,+41.755101,-071.341281,39
120,+41.755151,-071.343231,12
121,+41.754351,-071.341405,51
122,+41.753934,-071.342192,15
123,+41.753151,-071.344177,139
124,+41.752351,-071.350018,31
125,+41.750451,-071.350636,21
126,+41.749701,-071.349788,56
127,+41.748651,-071.349806,28
128,+41.748751,-071.350618,12
129,+41.747309,-071.351140,21
130,+41.748001,-071.350363,26
131,+41.749154,-071.352941,0
132,+41.771968,-071.321214,0
133,+41.767634,-071.326015,235
134,+41.765751,-071.329370,33
135,+41.765751,-071.330845,37
136,+41.764651,-071.329979,37
137,+41.763101,-071.328845,25
138,+41.762101,-071.327849,14
139,+41.761701,-071.327078,13
140,+41.761501,-071.329276,73
141,+41.762301,-071.329893,11
142,+41.762201,-071.328868,11
143,+41.760351,-071.327816,46
144,+41.759751,-071.330506,42
145,+41.759201,-071.328973,51
146,+41.758601,-071.327029,26
147,+41.759768,-071.325369,6
148,+41.759018,-071.325246,0
149,+41.758301,-071.321838,0
150,+41.761101,-071.321412,48
151,+41.762468,-071.321853,11
152,+41.757134,-071.326689,0
153,+41.756301,-071.328545,62
154,+41.757901,-071.329318,54
155,+41.753851,-071.327860,49
156,+41.754551,-071.325580,0
157,+41.754651,-071.323609,7
158,+41.749951,-071.324998,61
159,+41.752101,-071.326218,52
160,+41.752601,-071.325695,59
161,+41.753101,-071.325278,16
162,+41.753818,-071.320665,0
163,+41.742184,-071.320022,271
164,+41.745201,-071.318193,21
165,+41.746834,-071.320319,34
166,+41.747301,-071.327229,57
167,+41.743051,-071.328270,129
168,+41.745918,-071.325781,30
169,+41.744551,-071.325194,3
170,+41.741051,-071.324144,62
171,+41.741051,-071.320694,64
172,+41.741051,-071.318119,31
173,+41.740101,-071.316022,37
174,+41.740401,-071.318094,21
175,+41.740351,-071.320715,70
176,+41.740351,-071.324165,66
177,+41.740034,-071.327853,48
178,+41.739751,-071.324144,43
179,+41.739751,-071.320694,65
180,+41.739401,-071.318004,25
181,+41.739201,-071.320655,72
182,+41.739051,-071.324119,56
183,+41.741701,-071.308263,174
184,+41.739451,-071.306168,19
185,+41.738351,-071.304291,5
186,+41.739401,-071.303634,38
187,+41.740368,-071.304071,16
188,+41.739401,-071.302484,33
189,+41.739451,-071.301351,22
190,+41.739451,-071.300376,8
191,+41.738768,-071.300445,6
192,+41.738251,-071.300530,23
193,+41.738368,-071.302424,15
194,+41.740468,-071.308202,0
195,+41.740801,-071.309922,16
196,+41.742001,-071.311790,21
