block_num,latitude,longitude,total_pop
1,+44.121377,-073.262537,4
2,+44.118724,-073.278500,42
3,+44.103329,-073.273682,6
4,+44.098141,-073.262690,22
5,+44.091714,-073.275686,43
6,+44.077599,-073.297051,49
7,+44.085920,-073.298403,31
8,+44.088240,-073.300876,2
9,+44.072405,-073.322771,81
10,+44.103457,-073.318713,49
11,+44.093552,-073.306407,36
12,+44.086928,-073.334946,0
13,+44.091814,-073.362196,32
14,+44.104701,-073.371346,35
15,+44.105398,-073.385909,0
16,+44.110450,-073.384983,0
17,+44.089253,-073.395465,45
18,+44.088988,-073.384212,33
19,+44.083189,-073.400104,23
20,+44.081812,-073.407535,7
21,+44.078544,-073.402804,34
22,+44.080018,-073.401451,34
23,+44.073788,-073.387984,27
24,+44.080836,-073.375495,0
25,+44.066872,-073.370950,35
26,+44.058062,-073.337744,0
27,+44.052133,-073.348456,23
28,+44.042988,-073.327430,33
29,+44.057359,-073.315308,106
30,+44.061704,-073.297699,61
31,+44.076795,-073.276628,101
32,+44.081287,-073.250841,0
33,+44.038567,-073.299758,35
34,+44.030552,-073.301190,0
35,+44.043056,-073.338947,35
36,+44.034041,-073.345623,28
37,+44.043885,-073.361545,11
38,+44.045921,-073.403372,63
39,+44.055173,-073.414417,86
40,+44.072323,-073.407423,12
41,+44.071228,-073.410848,0
42,+44.069498,-073.412547,10
43,+44.064691,-073.406124,0
44,+44.058563,-073.395044,29
45,+44.066689,-073.384251,0
46,+44.045245,-073.417664,28
47,+44.039664,-073.417988,13
48,+44.035936,-073.418540,0
49,+44.034909,-073.418187,3
50,+44.035730,-073.420575,0
51,+44.026547,-073.399420,0
52,+44.025323,-073.383270,8
53,+44.028682,-073.362344,36
54,+44.022035,-073.390232,0
55,+44.023491,-073.395302,0
56,+44.021670,-073.397896,2
57,+44.038534,-073.410533,0
58,+44.097478,-073.402608,0
59,+44.027514,-073.405535,0
60,+44.032329,-073.391891,0
61,+44.056415,-073.329233,0
62,+44.065266,-073.338790,0
63,+44.065135,-073.351744,0
64,+44.089927,-073.347259,0
65,+44.111172,-073.261388,0
66,+44.028156,-073.258093,20
67,+44.027880,-073.270749,31
68,+44.030019,-073.286908,15
69,+44.016558,-073.301846,84
70,+44.025708,-073.314873,11
71,+44.022489,-073.330450,27
72,+44.019572,-073.343694,5
73,+44.019448,-073.360406,17
74,+44.023961,-073.362132,0
75,+44.020211,-073.381702,11
76,+44.021594,-073.392048,2
77,+44.021205,-073.395125,0
78,+44.020992,-073.393143,0
79,+44.006195,-073.390840,21
80,+43.997463,-073.386269,0
81,+43.996721,-073.365074,7
82,+44.006995,-073.358987,49
83,+44.013944,-073.331235,15
84,+44.009907,-073.317807,23
85,+44.009713,-073.328166,0
86,+44.000359,-073.329018,8
87,+43.998817,-073.313697,6
88,+43.997951,-073.299999,37
89,+44.011065,-073.274587,96
90,+43.994500,-073.279649,18
91,+43.992814,-073.300493,14
92,+43.991503,-073.315127,44
93,+43.988207,-073.326478,16
94,+43.987529,-073.351448,15
95,+43.991153,-073.353820,3
96,+43.989778,-073.364966,1
97,+43.989530,-073.369606,0
98,+43.985680,-073.380993,13
99,+43.993230,-073.400043,20
100,+43.982171,-073.397313,18
101,+43.979512,-073.397620,11
102,+43.976387,-073.403411,15
103,+43.977958,-073.402169,0
104,+43.961737,-073.400998,20
105,+43.960193,-073.388090,6
106,+43.964654,-073.368154,21
107,+43.971571,-073.359665,10
108,+43.978767,-073.360451,20
109,+43.973696,-073.342558,18
110,+43.978334,-073.325928,21
111,+43.981747,-073.332653,0
112,+43.982598,-073.321058,60
113,+43.983973,-073.316007,0
114,+43.984424,-073.314111,5
115,+43.983439,-073.300834,30
116,+43.987419,-073.275756,38
117,+43.971770,-073.300110,58
118,+43.975413,-073.315064,8
119,+43.979279,-073.314803,17
120,+43.968287,-073.326645,11
121,+43.964667,-073.340424,20
122,+43.953858,-073.337773,6
123,+43.959186,-073.327039,0
124,+43.949981,-073.322193,45
125,+43.950375,-073.304626,19
126,+43.941334,-073.316267,3
127,+43.941833,-073.300338,0
128,+43.946350,-073.276685,0
129,+43.947925,-073.355563,17
130,+43.953002,-073.373757,39
131,+43.956349,-073.388578,0
132,+43.953557,-073.399835,19
133,+43.935848,-073.374198,22
134,+43.931497,-073.401722,16
135,+43.930819,-073.401767,3
136,+43.955935,-073.403316,10
137,+44.005947,-073.401646,0
138,+44.186087,-073.033796,65
139,+44.189139,-073.047987,5
140,+44.176264,-073.049319,79
141,+44.156841,-073.074621,300
142,+44.179583,-073.088978,0
143,+44.162125,-073.053702,0
144,+44.165661,-073.036515,47
145,+44.161879,-073.022398,0
146,+44.155938,-073.030972,33
147,+44.157383,-073.018775,0
148,+44.126609,-073.039321,4
149,+44.082644,-073.047487,163
150,+44.129002,-073.052585,1
151,+44.126746,-073.058657,7
152,+44.129331,-073.070573,110
153,+44.129971,-073.071351,8
154,+44.133666,-073.077011,114
155,+44.131235,-073.078613,90
156,+44.135596,-073.077361,54
157,+44.137449,-073.077827,62
158,+44.139140,-073.078416,36
159,+44.141266,-073.079406,98
160,+44.148400,-073.078837,98
161,+44.118581,-073.091780,65
162,+44.102363,-073.091595,20
163,+44.094802,-073.082514,272
164,+44.088880,-073.090132,23
165,+44.081307,-073.085074,41
166,+44.054433,-073.045812,72
167,+44.063372,-073.053731,0
168,+44.171910,-073.087798,0
169,+44.146646,-073.093070,95
170,+44.136521,-073.091765,490
171,+44.136440,-073.090092,23
172,+44.134715,-073.086422,18
173,+44.134899,-073.084372,55
174,+44.135402,-073.081069,92
175,+44.136602,-073.080497,47
176,+44.134173,-073.081637,78
177,+44.133402,-073.079416,0
178,+44.129624,-073.088768,66
179,+44.132350,-073.084249,34
180,+44.126860,-073.090959,176
181,+44.168767,-073.108874,260
182,+44.163257,-073.131295,104
183,+44.153020,-073.143353,0
184,+44.151280,-073.144440,0
185,+44.149775,-073.110978,41
186,+44.144630,-073.102772,12
187,+44.130792,-073.103713,37
188,+44.140859,-073.108769,0
189,+44.127442,-073.098772,20
