block_num,latitude,longitude,total_pop
1,+39.173899,-080.055536,0
2,+39.169277,-080.051640,0
3,+39.165379,-080.047331,5
4,+39.162186,-080.046024,90
5,+39.161895,-080.043163,10
6,+39.161839,-080.042701,12
7,+39.161715,-080.042260,12
8,+39.161433,-080.039344,11
9,+39.161801,-080.032779,0
10,+39.160525,-080.042363,14
11,+39.160670,-080.043138,12
12,+39.160747,-080.043563,13
13,+39.159652,-080.043954,13
14,+39.159714,-080.044494,11
15,+39.157916,-080.045151,30
16,+39.158463,-080.044408,137
17,+39.158393,-080.043954,16
18,+39.159546,-080.043536,19
19,+39.159392,-080.042783,13
20,+39.159181,-080.041794,8
21,+39.158272,-080.042251,6
22,+39.158214,-080.043219,29
23,+39.156967,-080.043650,31
24,+39.157192,-080.044374,7
25,+39.156282,-080.043705,10
26,+39.157225,-080.042317,0
27,+39.157358,-080.042757,27
28,+39.155953,-080.043941,12
29,+39.155583,-080.044996,32
30,+39.153130,-080.047822,47
31,+39.160881,-080.048835,0
32,+39.159282,-080.047939,111
33,+39.157913,-080.051958,78
34,+39.158531,-080.049215,53
35,+39.158806,-080.049947,0
36,+39.156332,-080.048961,0
37,+39.155643,-080.048342,0
38,+39.153972,-080.047885,2
39,+39.156063,-080.052254,0
40,+39.153397,-080.043806,0
41,+39.160319,-080.030900,0
42,+39.157669,-080.035677,32
43,+39.153548,-080.035687,179
44,+39.153041,-080.038898,7
45,+39.153625,-080.039798,13
46,+39.154209,-080.040671,12
47,+39.154924,-080.041647,9
48,+39.154590,-080.042205,27
49,+39.153801,-080.042589,0
50,+39.153813,-080.043164,0
51,+39.154125,-080.042379,2
52,+39.153430,-080.041516,0
53,+39.153410,-080.042196,13
54,+39.153144,-080.040570,12
55,+39.152504,-080.039388,6
56,+39.152029,-080.038575,3
57,+39.152251,-080.037447,12
58,+39.151722,-080.038041,6
59,+39.151301,-080.037345,7
60,+39.151015,-080.035844,19
61,+39.150500,-080.036672,8
62,+39.149379,-080.036172,14
63,+39.149984,-080.035423,6
64,+39.147318,-080.034859,23
65,+39.147299,-080.035574,23
66,+39.146309,-080.034800,13
67,+39.154094,-080.039423,5
68,+39.154597,-080.040359,2
69,+39.155010,-080.040795,2
70,+39.154956,-080.040143,0
71,+39.139857,-080.026577,2
72,+39.136828,-080.021310,15
73,+39.139751,-080.024558,8
74,+39.137185,-080.018650,94
75,+39.153388,-080.043416,0
76,+39.160046,-080.030366,0
77,+39.132114,-080.017742,15
78,+39.132980,-080.014835,0
79,+39.139149,-080.027105,0
80,+39.143303,-080.037240,172
81,+39.140444,-080.029137,6
82,+39.144434,-080.033700,13
83,+39.145320,-080.035901,18
84,+39.146128,-080.036792,12
85,+39.146862,-080.037022,6
86,+39.147361,-080.037462,154
87,+39.147621,-080.036939,0
88,+39.146953,-080.036177,9
89,+39.146209,-080.035505,0
90,+39.146197,-080.036149,12
91,+39.146014,-080.037640,16
92,+39.145526,-080.038059,5
93,+39.145103,-080.038721,0
94,+39.148654,-080.038170,9
95,+39.149521,-080.037690,31
96,+39.152473,-080.040775,18
97,+39.152003,-080.040028,14
98,+39.151519,-080.039057,45
99,+39.146615,-080.040153,0
100,+39.144170,-080.043525,0
101,+39.145980,-080.040400,5
102,+39.145688,-080.040775,4
103,+39.143081,-080.044752,15
104,+39.144083,-080.034651,30
105,+39.144916,-080.036322,4
106,+39.152108,-080.042228,0
107,+39.151772,-080.044853,0
108,+39.152273,-080.044045,0
109,+39.152236,-080.043046,0
110,+39.134645,-080.015466,6
111,+39.131243,-080.000692,1
112,+39.129774,-080.003074,0
113,+39.129540,-080.004360,0
114,+39.130035,-080.009332,0
115,+39.106630,-079.992203,0
116,+39.129480,-079.999106,0
117,+39.129364,-079.999173,0
118,+39.129477,-080.003826,0
119,+39.129324,-080.005238,0
120,+39.129729,-080.008886,0
121,+39.123781,-079.996882,0
122,+39.124493,-079.996743,0
123,+39.126463,-079.996923,0
124,+39.122323,-079.996695,0
125,+39.118230,-079.996271,0
126,+39.111038,-079.995160,0
127,+39.113316,-079.993527,0
128,+39.111763,-079.991620,4
129,+39.109703,-079.994094,0
130,+39.108562,-079.992906,3
131,+39.118258,-079.996135,0
132,+39.171264,-080.044254,106
133,+39.180837,-080.045169,5
134,+39.177980,-080.054909,13
135,+39.164889,-080.028327,0
136,+39.175342,-080.030307,0
137,+39.148130,-080.005874,33
138,+39.146748,-080.009074,0
139,+39.143934,-080.015525,36
140,+39.161779,-080.027509,0
141,+39.166189,-080.026403,0
142,+39.158637,-080.029987,8
143,+39.155551,-080.024197,20
144,+39.159817,-080.019247,0
145,+39.155439,-080.015953,8
146,+39.161067,-080.028292,0
147,+39.166206,-080.026965,0
148,+39.129645,-080.018968,65
149,+39.137118,-080.047980,27
150,+39.125245,-080.035921,63
151,+39.121203,-080.018162,20
152,+39.237981,-079.950758,23
153,+39.246523,-079.969025,12
154,+39.246682,-079.958459,0
155,+39.225886,-079.962409,0
156,+39.226660,-079.967513,0
157,+39.217479,-079.955010,30
158,+39.223345,-079.954241,14
159,+39.223264,-079.947893,0
160,+39.222287,-079.941829,0
161,+39.224414,-079.945840,0
162,+39.209978,-079.960608,4
163,+39.214757,-079.978703,8
164,+39.219457,-079.978174,42
