block_num,latitude,longitude,total_pop
1,+41.925690,-105.404176,0
2,+41.929686,-105.385740,0
3,+41.956098,-105.304759,0
4,+41.921981,-105.282129,6
5,+41.914039,-105.313260,0
6,+41.901634,-105.442553,7
7,+41.914015,-105.476457,0
8,+41.913309,-105.502583,0
9,+41.914598,-105.538652,0
10,+41.925571,-105.540862,0
11,+41.920636,-105.519214,0
12,+41.901044,-105.555223,0
13,+41.914170,-105.569547,0
14,+41.914070,-105.592825,0
15,+41.626479,-105.688164,4
16,+41.687958,-105.659308,0
17,+41.696541,-105.655141,1
18,+41.739456,-105.674209,0
19,+41.845957,-105.592579,0
20,+41.893436,-105.604822,3
21,+41.782975,-105.681326,0
22,+41.789637,-105.658891,0
23,+41.779634,-105.643573,0
24,+41.803281,-105.598776,0
25,+41.825460,-105.614326,0
26,+41.836424,-105.578336,0
27,+41.863734,-105.540309,0
28,+41.847520,-105.502440,0
29,+41.858929,-105.473587,0
30,+41.835107,-105.484957,0
31,+41.840257,-105.443493,0
32,+41.848047,-105.390025,0
33,+41.853937,-105.375796,15
34,+41.865388,-105.362134,0
35,+41.866318,-105.340216,0
36,+41.860151,-105.326361,4
37,+41.875218,-105.283087,8
38,+41.888415,-105.283804,3
39,+41.860186,-105.287860,0
40,+41.839026,-105.283008,0
41,+41.825935,-105.353354,5
42,+41.812693,-105.307002,0
43,+41.820843,-105.290938,0
44,+41.740631,-105.293692,3
45,+41.708529,-105.394789,17
46,+41.774562,-105.369676,2
47,+41.780894,-105.371012,0
48,+41.776558,-105.414869,0
49,+41.807568,-105.424571,0
50,+41.828777,-105.403701,0
51,+41.833331,-105.427242,0
52,+41.807689,-105.485106,0
53,+41.832341,-105.521296,0
54,+41.840104,-105.540135,0
55,+41.816046,-105.555860,0
56,+41.802181,-105.546828,0
57,+41.817280,-105.520682,0
58,+41.801815,-105.525280,0
59,+41.800422,-105.506421,0
60,+41.791339,-105.488956,0
61,+41.784235,-105.449316,0
62,+41.776120,-105.482377,0
63,+41.764643,-105.451268,5
64,+41.748540,-105.406345,0
65,+41.734201,-105.447917,0
66,+41.743938,-105.474118,2
67,+41.756557,-105.455434,0
68,+41.756764,-105.507812,0
69,+41.754889,-105.532447,0
70,+41.788633,-105.529493,0
71,+41.775140,-105.576776,0
72,+41.764244,-105.549215,0
73,+41.762097,-105.601174,0
74,+41.772514,-105.624596,0
75,+41.748138,-105.630875,0
76,+41.758396,-105.653784,0
77,+41.731674,-105.614207,0
78,+41.739212,-105.514189,0
79,+41.722527,-105.502654,0
80,+41.713638,-105.485151,6
81,+41.705804,-105.531043,0
82,+41.680772,-105.529302,0
83,+41.674827,-105.559853,0
84,+41.693520,-105.573821,0
85,+41.667233,-105.599470,0
86,+41.709948,-105.634793,0
87,+41.701619,-105.706029,0
88,+41.709311,-105.715775,0
89,+41.685745,-105.714518,0
90,+41.629230,-105.731013,0
91,+41.576925,-105.664316,2
92,+41.596820,-105.673616,0
93,+41.601379,-105.652078,0
94,+41.602758,-105.626300,0
95,+41.620374,-105.599262,0
96,+41.640673,-105.571318,2
97,+41.631414,-105.587006,0
98,+41.625696,-105.566650,0
99,+41.635546,-105.539757,4
100,+41.663348,-105.524883,0
101,+41.659117,-105.558722,0
102,+41.651554,-105.559245,0
103,+41.614940,-105.525896,0
104,+41.614986,-105.495426,0
105,+41.633256,-105.486635,0
106,+41.661371,-105.433821,0
107,+41.612445,-105.354068,8
108,+41.617310,-105.443276,0
109,+41.589967,-105.456012,5
110,+41.581007,-105.497764,0
111,+41.596956,-105.546319,0
112,+41.609022,-105.540236,11
113,+41.573720,-105.548468,0
114,+41.550619,-105.582691,2
115,+41.592137,-105.643475,0
116,+41.569697,-105.630598,0
117,+41.565568,-105.656438,0
118,+41.565264,-105.671980,0
119,+41.538290,-105.638854,4
120,+41.516454,-105.692180,0
121,+41.514645,-105.660376,0
122,+41.513045,-105.626088,0
123,+41.516749,-105.647898,0
124,+41.489000,-105.630098,1
125,+41.494312,-105.600333,0
126,+41.513535,-105.567853,0
127,+41.548016,-105.511682,0
128,+41.564782,-105.464063,0
129,+41.554695,-105.488567,0
130,+41.537027,-105.489130,0
