block_num,latitude,longitude,total_pop
1,+41.006309,-073.419617,0
2,+41.026061,-073.337708,0
3,+41.072638,-073.268276,0
4,+41.085182,-073.231411,0
5,+41.116137,-073.202648,0
6,+41.073310,-073.171092,0
7,+41.065715,-073.142180,0
8,+41.094825,-073.072216,0
9,+41.375895,-073.419540,0
10,+41.378245,-073.423505,108
11,+41.380862,-073.424225,7
12,+41.380195,-073.427627,24
13,+41.379255,-073.430818,29
14,+41.378581,-073.432996,0
15,+41.377574,-073.431800,177
16,+41.378295,-073.429911,68
17,+41.377845,-073.427327,74
18,+41.376995,-073.426544,24
19,+41.375995,-073.427806,28
20,+41.376395,-073.428389,17
21,+41.376521,-073.430237,50
22,+41.375990,-073.431635,8
23,+41.375893,-073.432701,0
24,+41.376382,-073.432969,51
25,+41.375664,-073.433596,0
26,+41.372703,-073.428832,524
27,+41.369501,-073.432606,86
28,+41.374328,-073.427399,128
29,+41.375743,-073.430406,11
30,+41.376145,-073.423651,53
31,+41.374528,-073.421881,0
32,+41.373795,-073.420791,38
33,+41.374528,-073.418881,61
34,+41.374395,-073.417416,13
35,+41.373028,-073.416168,22
36,+41.372695,-073.417976,47
37,+41.373445,-073.422692,36
38,+41.374445,-073.423214,9
39,+41.378644,-073.423275,0
40,+41.378839,-073.422778,0
41,+41.370595,-073.416731,83
42,+41.371295,-073.419800,90
43,+41.371495,-073.416840,89
44,+41.369895,-073.415363,6
45,+41.367862,-073.418113,64
46,+41.368795,-073.418130,25
47,+41.371695,-073.421914,101
48,+41.368195,-073.424294,357
49,+41.366595,-073.425508,71
50,+41.366895,-073.426982,19
51,+41.363128,-073.425805,610
52,+41.364786,-073.427418,82
53,+41.365095,-073.424814,27
54,+41.366362,-073.422469,48
55,+41.366995,-073.423364,13
56,+41.361595,-073.420080,113
57,+41.359449,-073.425337,0
58,+41.385327,-073.405256,1032
59,+41.381459,-073.406871,130
60,+41.377644,-073.408979,68
61,+41.378623,-073.414234,167
62,+41.377402,-073.415003,378
63,+41.381895,-073.420233,7
64,+41.376802,-073.416256,51
65,+41.373995,-073.410667,109
66,+41.374534,-073.408324,114
67,+41.385455,-073.413682,0
68,+41.386164,-073.417499,0
69,+41.383975,-073.417776,20
70,+41.372495,-073.408508,60
71,+41.372045,-073.410228,58
72,+41.371628,-073.411148,1
73,+41.371795,-073.412744,11
74,+41.370845,-073.414375,0
75,+41.370845,-073.412350,79
76,+41.371095,-073.409131,66
77,+41.361728,-073.405855,361
78,+41.366711,-073.404134,0
79,+41.359063,-073.402728,0
80,+41.368028,-073.411827,183
81,+41.369124,-073.415064,0
82,+41.370839,-073.393361,409
83,+41.371928,-073.394259,79
84,+41.373245,-073.399407,58
85,+41.373728,-073.401939,53
86,+41.371578,-073.400221,104
87,+41.373728,-073.405022,115
88,+41.372928,-073.406403,89
89,+41.366205,-073.388928,0
90,+41.382528,-073.393048,55
91,+41.380462,-073.397109,142
92,+41.383951,-073.398067,0
93,+41.382090,-073.396531,49
94,+41.378679,-073.396278,0
95,+41.378228,-073.395401,0
96,+41.378985,-073.399446,130
97,+41.379978,-073.401051,92
98,+41.376695,-073.403641,145
99,+41.375895,-073.403563,45
100,+41.375478,-073.399464,169
101,+41.367428,-073.387392,105
102,+41.367695,-073.398249,77
103,+41.366195,-073.396599,62
104,+41.366195,-073.400868,454
105,+41.370095,-073.399162,72
106,+41.356662,-073.401916,27
107,+41.359395,-073.414281,220
108,+41.359945,-073.421027,0
109,+41.347539,-073.424013,0
110,+41.357223,-073.427315,0
111,+41.356228,-073.429055,13
112,+41.421345,-073.381889,156
113,+41.422995,-073.382635,4
114,+41.423495,-073.384171,8
115,+41.423283,-073.387672,43
116,+41.424479,-073.393146,68
117,+41.425712,-073.394805,6
118,+41.422823,-073.392467,78
119,+41.420345,-073.387882,36
120,+41.417495,-073.385051,90
121,+41.417295,-073.391152,29
122,+41.414962,-073.390530,232
123,+41.412495,-073.392780,76
124,+41.411062,-073.389931,77
125,+41.411362,-073.393094,43
126,+41.404362,-073.392101,232
127,+41.405995,-073.388887,54
128,+41.407628,-073.386511,146
129,+41.408345,-073.388726,17
130,+41.410345,-073.385726,101
131,+41.410062,-073.381750,20
132,+41.410945,-073.377228,47
133,+41.416295,-073.380456,34
134,+41.419151,-073.380730,46
135,+41.403045,-073.374579,202
136,+41.402562,-073.382427,173
137,+41.399487,-073.383717,0
138,+41.397066,-073.385776,96
139,+41.395751,-073.386585,25
140,+41.393395,-073.386896,75
141,+41.394580,-073.392143,145
142,+41.399503,-073.392722,60
143,+41.398845,-073.389254,84
144,+41.403705,-073.387420,46
145,+41.397721,-073.391425,59
146,+41.392495,-073.391720,65
147,+41.392045,-073.396822,15
148,+41.398210,-073.400806,289
149,+41.397319,-073.401998,23
150,+41.395006,-073.403389,0
151,+41.400828,-073.404031,90
152,+41.397395,-073.407178,0
153,+41.391095,-073.403703,16
154,+41.393980,-073.402805,0
155,+41.392583,-073.400269,13
156,+41.393395,-073.398516,2
157,+41.390762,-073.395882,5
158,+41.388685,-073.398665,73
159,+41.426261,-073.401092,34
160,+41.419344,-073.405258,18
161,+41.423605,-073.402004,0
162,+41.423427,-073.399859,0
163,+41.420991,-073.395922,179
164,+41.420695,-073.399088,71
165,+41.419295,-073.395761,44
166,+41.418095,-073.396008,2
167,+41.417145,-073.401195,0
168,+41.418243,-073.401377,3
169,+41.415762,-073.401253,68
170,+41.412595,-073.396681,157
171,+41.414345,-073.398450,26
172,+41.412432,-073.401676,31
173,+41.410239,-073.397490,130
174,+41.411545,-073.396475,34
175,+41.408855,-073.400011,55
176,+41.403478,-073.398284,383
177,+41.413928,-073.403875,44
178,+41.405345,-073.400507,30
179,+41.402328,-073.397156,108
180,+41.399595,-073.397419,109
181,+41.398662,-073.395836,96
182,+41.395248,-073.370984,44
183,+41.391262,-073.379861,256
184,+41.391962,-073.385928,2
185,+41.385281,-073.382752,204
186,+41.387645,-073.380613,48
187,+41.384762,-073.386367,88
188,+41.377962,-073.382828,268
189,+41.382074,-073.380999,116
190,+41.382028,-073.374179,21
191,+41.382145,-073.368038,0
192,+41.385295,-073.369147,178
193,+41.385862,-073.364334,20
194,+41.382567,-073.364729,0
195,+41.382228,-073.363637,2
196,+41.380595,-073.367909,36
197,+41.380445,-073.363284,25
198,+41.376845,-073.386369,10
199,+41.376728,-073.388688,45
200,+41.376900,-073.390730,22
201,+41.386395,-073.394415,136
202,+41.390495,-073.393263,3
203,+41.373895,-073.360517,79
204,+41.376053,-073.372795,371
205,+41.372078,-073.382194,50
206,+41.370695,-073.386162,141
207,+41.363445,-073.382648,24
208,+41.358812,-073.377087,11
209,+41.360195,-073.364926,447
210,+41.370868,-073.377442,0
211,+41.369151,-073.375552,0
212,+41.366335,-073.373371,18
213,+41.366020,-073.371979,16
214,+41.364949,-073.360334,25
215,+41.347978,-073.364717,73
216,+41.348662,-073.375229,269
217,+41.345895,-073.367911,5
218,+41.371402,-073.382851,0
219,+41.347345,-073.360793,0
220,+41.360255,-073.383020,22
221,+41.361665,-073.383604,16
222,+41.360148,-073.389700,80
223,+41.362845,-073.396568,279
224,+41.356498,-073.387376,51
225,+41.347052,-073.388149,200
226,+41.343745,-073.393940,28
227,+41.343562,-073.405075,202
228,+41.356521,-073.407987,110
229,+41.347274,-073.416548,27
230,+41.340582,-073.418781,28
231,+41.337027,-073.416295,0
232,+41.348195,-073.418441,0
233,+41.148646,-073.224521,171
234,+41.153646,-073.221671,40
235,+41.155146,-073.222707,165
236,+41.156529,-073.223699,394
237,+41.159146,-073.224002,143
238,+41.157996,-073.225481,81
239,+41.157463,-073.225970,106
240,+41.153846,-073.222735,55
241,+41.152646,-073.222952,220
242,+41.150897,-073.232140,10
243,+41.145996,-073.233355,0
244,+41.148048,-073.232263,0
245,+41.144713,-073.223514,0
246,+41.152796,-073.225668,121
247,+41.152629,-073.227945,78
248,+41.153796,-073.228461,62
249,+41.153046,-073.229397,75
250,+41.152346,-073.230092,52
251,+41.151646,-073.230332,45
252,+41.151046,-073.230717,41
253,+41.150346,-073.230714,28
254,+41.150129,-073.228003,129
255,+41.149446,-073.228522,12
256,+41.148646,-073.228668,23
257,+41.147946,-073.228459,28
258,+41.147346,-073.227604,37
259,+41.145096,-073.228367,128
260,+41.147629,-073.230398,35
261,+41.144096,-073.228199,10
262,+41.150946,-073.227269,78
263,+41.151646,-073.227077,93
264,+41.152029,-073.226097,35
265,+41.153796,-073.224024,86
266,+41.154246,-073.224893,61
267,+41.155346,-073.225369,136
268,+41.153546,-073.225652,61
269,+41.154696,-073.226987,74
270,+41.155096,-073.227699,104
271,+41.155596,-073.228406,136
272,+41.156996,-073.226500,67
273,+41.155146,-073.229726,9
274,+41.154196,-073.230627,81
275,+41.154596,-073.229438,31
276,+41.154046,-073.231550,43
277,+41.154929,-073.232840,131
278,+41.153965,-073.235598,45
279,+41.153409,-073.232317,14
280,+41.152596,-073.231807,32
281,+41.152457,-073.234431,0
282,+41.159896,-073.226462,146
283,+41.160846,-073.228765,0
284,+41.159223,-073.231067,0
285,+41.158196,-073.228247,272
286,+41.158896,-073.227669,230
287,+41.159396,-073.227081,149
288,+41.157029,-073.228515,234
289,+41.157223,-073.229874,112
290,+41.156437,-073.230332,176
291,+41.156652,-073.231879,130
292,+41.156180,-073.232887,56
293,+41.155890,-073.233818,0
294,+41.155408,-073.234605,0
295,+41.154978,-073.235616,0
296,+41.154442,-073.236204,0
297,+41.156696,-073.234444,0
298,+41.166996,-073.218257,0
299,+41.166529,-073.220751,58
300,+41.165896,-073.220127,115
301,+41.166456,-073.218380,0
302,+41.165346,-073.219968,76
303,+41.164746,-073.222131,178
304,+41.165763,-073.223547,31
305,+41.166479,-073.222919,51
306,+41.164136,-073.218225,0
307,+41.163013,-073.217705,0
308,+41.162246,-073.217975,0
309,+41.162896,-073.218531,0
310,+41.162629,-073.220309,132
311,+41.164096,-073.222349,349
312,+41.163446,-073.222549,159
313,+41.162796,-073.222772,168
314,+41.161346,-073.220698,140
315,+41.160296,-073.219674,34
316,+41.159796,-073.217482,307
317,+41.159796,-073.219656,118
318,+41.159496,-073.221498,50
319,+41.159346,-073.222487,51
320,+41.158446,-073.221674,58
321,+41.159146,-073.219514,112
322,+41.158646,-073.218814,116
323,+41.157786,-073.219262,71
324,+41.157096,-073.221193,114
325,+41.157093,-073.219460,7
326,+41.155196,-073.219539,85
327,+41.155151,-073.217393,0
328,+41.156229,-073.217829,0
329,+41.165629,-073.224682,22
330,+41.164530,-073.225609,48
331,+41.164032,-073.227158,0
332,+41.162951,-073.227097,49
333,+41.163796,-073.225316,135
334,+41.163146,-073.225050,82
335,+41.162029,-073.224798,353
336,+41.162279,-073.222949,0
337,+41.160846,-073.222548,104
338,+41.159613,-073.223853,39
339,+41.160477,-073.225594,269
340,+41.161962,-073.227388,71
341,+41.168846,-073.197904,0
342,+41.168796,-073.199384,0
343,+41.168529,-073.200246,0
344,+41.167776,-073.203751,0
345,+41.168503,-073.203060,0
346,+41.168402,-073.204355,0
347,+41.168196,-073.206599,0
348,+41.167896,-073.209906,0
349,+41.167696,-073.212203,0
350,+41.167446,-073.215067,0
351,+41.166946,-073.215107,0
352,+41.167046,-073.212086,0
353,+41.167246,-073.209761,0
354,+41.167496,-073.206806,0
355,+41.167703,-073.204694,0
356,+41.167127,-073.203895,0
357,+41.167896,-073.201367,0
358,+41.167596,-073.201214,0
359,+41.167896,-073.199613,0
360,+41.166629,-073.201294,0
361,+41.164429,-073.207075,0
362,+41.166866,-073.205168,0
363,+41.166746,-073.207116,0
364,+41.166446,-073.209596,0
365,+41.166396,-073.211928,0
366,+41.166363,-073.214017,0
367,+41.164329,-073.215212,60
368,+41.165596,-073.216685,0
369,+41.166412,-073.216997,0
370,+41.166375,-073.215923,0
371,+41.163596,-073.216336,0
372,+41.160546,-073.214492,1060
373,+41.161546,-073.213409,0
374,+41.162692,-073.213775,0
375,+41.164196,-073.211614,0
376,+41.165894,-073.211732,0
377,+41.166096,-073.209469,0
378,+41.166196,-073.207007,0
379,+41.165646,-073.207108,0
380,+41.164996,-073.209304,0
381,+41.162976,-073.209711,0
382,+41.162196,-073.211315,0
383,+41.160629,-073.210871,0
384,+41.157529,-073.214070,0
385,+41.164449,-073.205228,0
386,+41.166456,-073.183923,16
387,+41.164929,-073.185383,0
388,+41.166296,-073.186303,0
389,+41.166029,-073.186238,0
390,+41.163296,-073.185991,5
391,+41.165546,-073.187090,6
392,+41.165396,-073.188005,0
393,+41.163629,-073.187511,9
394,+41.164146,-073.186664,74
395,+41.163946,-073.188720,3
396,+41.163696,-073.189798,74
397,+41.163396,-073.190916,0
398,+41.164296,-073.192323,14
399,+41.165396,-073.193423,111
400,+41.164246,-073.195705,45
401,+41.165496,-073.196072,124
402,+41.164996,-073.196895,41
403,+41.165046,-073.198068,43
404,+41.165446,-073.198860,68
405,+41.165746,-073.199766,75
406,+41.166646,-073.199799,26
407,+41.165846,-073.200766,72
408,+41.164796,-073.200505,34
409,+41.164796,-073.199756,8
410,+41.162746,-073.202336,258
411,+41.164396,-073.197511,115
412,+41.162246,-073.197603,3
413,+41.163596,-073.194449,6
414,+41.162846,-073.193918,245
415,+41.162779,-073.191914,0
416,+41.161646,-073.192103,0
417,+41.161296,-073.188280,0
418,+41.162529,-073.187555,0
419,+41.160996,-073.186319,0
420,+41.163029,-073.185255,0
421,+41.161496,-073.186517,0
422,+41.160863,-073.190090,0
423,+41.160429,-073.192211,0
424,+41.160829,-073.193880,0
425,+41.160696,-073.196510,0
426,+41.159096,-073.204718,0
427,+41.156727,-073.208807,0
428,+41.151496,-073.215920,0
429,+41.153320,-073.211752,0
430,+41.151989,-073.214693,0
431,+41.152146,-073.199469,0
432,+41.156750,-073.182828,0
433,+41.161746,-073.181007,0
434,+41.168896,-073.189947,25
435,+41.169596,-073.190303,0
436,+41.169496,-073.191602,0
437,+41.169296,-073.193455,0
438,+41.168596,-073.193033,65
439,+41.168946,-073.191340,0
440,+41.168346,-073.191036,19
441,+41.167846,-073.192597,166
442,+41.167196,-073.192170,84
443,+41.167596,-073.190672,0
444,+41.166487,-073.190175,206
445,+41.166496,-073.193944,232
446,+41.165796,-073.195165,92
447,+41.169046,-073.196120,3
448,+41.168629,-073.195946,667
449,+41.167796,-073.195045,196
450,+41.167146,-073.194261,194
451,+41.166496,-073.196275,109
452,+41.167246,-073.197827,243
453,+41.165796,-073.197580,0
454,+41.185413,-073.190516,0
455,+41.184696,-073.192040,0
456,+41.185229,-073.192811,0
457,+41.185496,-073.193155,0
458,+41.185496,-073.193512,0
459,+41.183996,-073.193872,0
460,+41.183727,-073.192883,150
461,+41.183196,-073.190870,105
462,+41.182146,-073.191843,0
463,+41.181996,-073.193767,0
464,+41.182246,-073.194478,0
465,+41.180529,-073.194844,0
466,+41.181046,-073.193863,0
467,+41.181513,-073.192738,0
468,+41.180696,-073.191506,208
469,+41.182029,-073.190047,2
470,+41.181496,-073.191118,0
471,+41.180796,-073.189655,0
472,+41.180896,-073.188849,0
473,+41.182563,-073.187966,0
474,+41.179946,-073.186955,0
475,+41.178334,-073.186898,0
476,+41.176796,-073.187137,0
477,+41.178596,-073.188057,0
478,+41.179663,-073.188337,0
479,+41.179796,-073.189456,0
480,+41.179264,-073.192880,0
481,+41.179829,-073.193611,0
482,+41.180263,-073.194922,0
483,+41.178096,-073.196127,0
484,+41.178863,-073.195315,0
485,+41.177879,-073.195073,0
486,+41.178014,-073.194001,0
487,+41.178596,-073.192604,0
488,+41.179246,-073.190761,102
489,+41.178546,-073.190501,0
490,+41.178646,-073.189125,0
491,+41.177846,-073.190268,47
492,+41.177946,-073.188943,0
493,+41.177496,-073.188789,0
