block_num,latitude,longitude,total_pop
1,+39.074440,-075.476001,39
2,+39.071133,-075.473812,27
3,+39.068432,-075.478105,0
4,+39.071447,-075.478343,53
5,+39.069878,-075.476359,76
6,+39.068102,-075.475533,31
7,+39.104072,-075.479415,162
8,+39.108949,-075.499030,27
9,+39.107602,-075.498240,71
10,+39.103336,-075.504462,866
11,+39.101229,-075.506290,0
12,+39.098335,-075.492660,133
13,+39.101499,-075.488980,46
14,+39.100961,-075.487376,90
15,+39.100810,-075.489166,38
16,+39.100073,-075.489373,48
17,+39.097198,-075.502718,0
18,+39.088461,-075.508040,416
19,+39.096070,-075.512203,22
20,+39.095233,-075.509668,29
21,+39.095805,-075.509596,11
22,+39.095494,-075.508963,7
23,+39.092491,-075.514774,23
24,+39.093176,-075.516200,12
25,+39.093719,-075.517381,0
26,+39.099698,-075.514249,32
27,+39.105229,-075.487153,0
28,+39.096303,-075.520793,72
29,+39.097013,-075.523356,74
30,+39.090907,-075.525486,10
31,+39.029406,-075.512445,0
32,+39.029757,-075.506432,140
33,+39.028189,-075.504006,0
34,+39.027252,-075.507652,13
35,+39.027460,-075.509640,0
36,+39.028618,-075.509225,0
37,+39.028917,-075.510982,0
38,+39.027899,-075.512057,21
39,+39.026982,-075.512458,21
40,+39.032302,-075.492007,58
41,+39.037074,-075.518798,24
42,+39.035661,-075.532736,54
43,+39.031682,-075.528507,17
44,+39.030956,-075.532981,188
45,+39.035609,-075.545286,179
46,+39.034406,-075.544406,34
47,+39.037122,-075.549949,37
48,+39.029210,-075.529426,60
49,+39.027271,-075.528881,125
50,+39.029182,-075.519450,201
51,+39.031617,-075.514209,17
52,+39.025517,-075.511621,34
53,+39.021676,-075.520678,154
54,+39.024937,-075.533717,206
55,+39.023551,-075.514021,0
56,+39.033177,-075.518043,0
57,+39.033653,-075.517292,0
58,+39.041842,-075.574561,31
59,+39.044250,-075.574008,18
60,+39.044132,-075.572081,0
61,+39.044085,-075.569494,22
62,+39.042224,-075.571595,12
63,+39.041667,-075.572364,0
64,+39.041703,-075.572889,0
65,+39.040360,-075.574442,0
66,+39.040019,-075.569951,26
67,+39.041619,-075.568870,27
68,+39.041068,-075.571728,20
69,+39.073223,-075.562564,0
70,+39.072572,-075.566080,17
71,+39.072039,-075.569096,0
72,+39.071759,-075.571000,41
73,+39.070270,-075.570575,23
74,+39.069905,-075.568961,0
75,+39.070418,-075.568183,11
76,+39.070869,-075.567390,16
77,+39.069815,-075.565895,49
78,+39.071048,-075.562360,27
79,+39.073824,-075.527761,226
80,+39.077232,-075.527451,39
81,+39.070237,-075.531054,82
82,+39.068209,-075.529696,56
83,+39.068198,-075.530860,42
84,+39.068221,-075.532029,42
85,+39.068210,-075.533095,56
86,+39.062842,-075.527744,175
87,+39.066298,-075.528697,41
88,+39.064421,-075.527614,80
89,+39.064319,-075.530069,91
90,+39.070934,-075.537923,84
91,+39.065500,-075.544001,334
92,+39.069861,-075.549886,45
93,+39.065718,-075.551541,90
94,+39.061405,-075.552519,13
95,+39.059516,-075.552382,28
96,+39.057569,-075.552029,162
97,+39.054675,-075.555336,29
98,+39.055287,-075.553107,79
99,+39.054684,-075.552332,4
100,+39.054461,-075.553439,22
101,+39.054922,-075.551324,4
102,+39.055121,-075.550585,23
103,+39.062352,-075.535853,137
104,+39.063931,-075.541675,38
105,+39.067032,-075.539738,11
106,+39.067234,-075.537892,41
107,+39.065041,-075.538728,64
108,+39.062616,-075.539672,36
109,+39.106218,-075.643574,2
110,+39.111730,-075.647189,70
111,+39.104216,-075.664745,108
112,+39.097837,-075.666904,0
113,+39.092310,-075.660499,56
114,+39.101900,-075.655902,12
115,+39.096339,-075.651754,7
116,+39.092039,-075.645058,87
117,+39.103660,-075.639684,31
118,+39.090762,-075.636276,0
119,+39.085473,-075.647571,13
120,+39.080966,-075.645862,132
121,+39.071131,-075.629151,11
122,+39.071677,-075.644416,0
123,+39.072135,-075.645068,0
124,+39.072083,-075.644388,0
125,+39.074445,-075.653323,4
126,+39.074335,-075.667864,99
127,+39.083683,-075.674181,16
128,+39.093721,-075.679497,140
129,+39.088029,-075.687369,12
130,+39.088487,-075.708312,47
131,+39.089289,-075.722416,68
132,+39.080060,-075.735858,77
133,+39.075344,-075.723503,55
134,+39.076683,-075.706514,43
135,+39.082561,-075.682137,8
136,+39.086423,-075.667192,2
137,+39.082462,-075.659212,19
138,+39.082780,-075.654207,19
139,+39.072048,-075.699894,71
140,+39.069342,-075.725289,3
141,+39.067718,-075.734491,21
142,+39.069949,-075.738991,0
143,+39.066679,-075.633419,13
144,+39.068619,-075.647078,121
145,+39.071323,-075.645452,0
146,+39.055523,-075.642959,17
147,+39.049605,-075.653644,45
148,+39.060202,-075.664433,71
149,+39.057816,-075.680092,51
150,+39.060041,-075.703812,154
151,+39.065332,-075.727836,34
152,+39.059887,-075.737318,10
153,+39.051615,-075.736642,0
154,+39.048919,-075.724793,1
155,+39.051519,-075.708558,6
156,+39.050088,-075.689684,12
157,+39.044278,-075.694252,10
158,+39.050498,-075.675859,65
159,+39.049102,-075.663700,63
160,+39.034988,-075.651182,126
161,+39.039009,-075.645681,27
162,+39.026976,-075.621297,0
163,+39.030571,-075.611192,29
164,+39.026009,-075.629547,0
165,+39.031455,-075.638789,0
166,+39.036860,-075.632380,0
167,+39.029707,-075.628854,0
168,+39.022674,-075.623834,6
169,+39.021451,-075.630027,70
170,+39.024792,-075.648370,58
171,+39.019837,-075.651813,55
172,+39.037205,-075.664854,80
173,+39.037533,-075.684132,68
174,+39.037597,-075.696827,4
175,+39.039465,-075.704765,10
176,+39.041314,-075.727762,54
177,+39.036812,-075.729775,0
178,+39.037562,-075.728693,0
179,+39.033956,-075.727699,8
180,+39.032682,-075.728666,0
181,+39.035308,-075.733437,3
182,+39.033479,-075.735326,0
183,+39.031966,-075.736689,10
184,+39.035545,-075.713812,91
185,+39.031816,-075.707799,52
186,+39.030467,-075.696204,12
187,+39.030003,-075.689982,13
188,+39.029370,-075.679072,78
189,+39.023793,-075.684235,4
190,+39.025724,-075.667544,72
191,+39.033343,-075.669251,20
192,+39.020093,-075.621256,17
193,+39.018046,-075.616841,100
194,+39.012971,-075.607443,22
195,+39.008674,-075.604175,0
196,+39.052733,-075.565032,65
197,+39.050967,-075.571260,0
198,+39.051974,-075.572977,5
199,+39.048359,-075.577998,5
200,+39.057734,-075.597527,52
201,+39.069428,-075.602179,56
202,+39.079212,-075.614367,129
203,+39.086847,-075.624119,0
