block_num,latitude,longitude,total_pop
1,+19.737356,-155.098434,0
2,+19.731458,-155.098974,0
3,+19.732585,-155.102556,0
4,+19.727263,-155.110162,0
5,+19.724652,-155.108983,0
6,+19.729672,-155.096067,74
7,+19.730206,-155.099346,16
8,+19.730392,-155.105324,0
9,+19.734133,-155.105730,0
10,+19.731179,-155.095568,49
11,+19.717946,-155.149212,0
12,+19.726522,-155.097898,193
13,+19.722487,-155.102373,55
14,+19.720912,-155.111073,0
15,+19.721584,-155.118392,321
16,+19.720476,-155.122224,51
17,+19.719490,-155.125046,42
18,+19.717294,-155.129947,127
19,+19.715227,-155.132295,71
20,+19.717708,-155.138689,0
21,+19.716915,-155.139234,53
22,+19.717846,-155.139525,0
23,+19.718343,-155.136527,0
24,+19.736679,-155.092644,4
25,+19.736659,-155.094060,34
26,+19.735960,-155.094380,18
27,+19.736072,-155.092272,4
28,+19.734045,-155.091159,150
29,+19.734717,-155.092141,0
30,+19.735111,-155.094257,396
31,+19.733956,-155.093923,126
32,+19.733064,-155.093615,64
33,+19.731726,-155.093248,130
34,+19.730567,-155.092965,199
35,+19.729647,-155.092286,0
36,+19.730700,-155.090490,0
37,+19.727431,-155.086600,0
38,+19.726827,-155.086863,0
39,+19.729649,-155.090300,0
40,+19.730038,-155.090751,0
41,+19.729551,-155.091432,0
42,+19.728931,-155.091803,0
43,+19.729110,-155.091171,0
44,+19.728408,-155.092430,1
45,+19.727533,-155.094069,28
46,+19.732811,-155.091190,0
47,+19.730437,-155.092149,0
48,+19.731835,-155.088080,0
49,+19.731390,-155.090780,0
50,+19.737367,-155.091682,0
51,+19.735819,-155.089054,0
52,+19.729042,-155.089990,0
53,+19.728237,-155.091351,0
54,+19.727487,-155.090535,57
55,+19.728098,-155.089529,0
56,+19.727151,-155.088949,11
57,+19.726810,-155.087959,0
58,+19.726396,-155.088474,22
59,+19.726698,-155.089782,25
60,+19.725701,-155.089532,3
61,+19.725351,-155.090623,104
62,+19.726747,-155.092505,64
63,+19.725261,-155.094951,281
64,+19.726011,-155.095047,54
65,+19.724419,-155.094894,20
66,+19.723775,-155.095799,35
67,+19.722663,-155.097362,51
68,+19.723413,-155.098307,43
69,+19.721717,-155.101236,45
70,+19.720888,-155.097540,351
71,+19.724078,-155.091468,244
72,+19.722184,-155.091889,0
73,+19.720916,-155.093300,0
74,+19.724725,-155.088579,6
75,+19.725670,-155.088758,81
76,+19.725559,-155.087787,18
77,+19.726332,-155.087452,0
78,+19.726057,-155.086980,0
79,+19.720494,-155.102852,66
80,+19.719964,-155.104739,50
81,+19.719833,-155.106844,47
82,+19.718978,-155.106013,34
83,+19.726044,-155.077307,0
84,+19.726055,-155.083885,0
85,+19.724025,-155.083874,2
86,+19.724482,-155.076990,0
87,+19.725412,-155.078909,0
88,+19.722100,-155.079112,138
89,+19.721086,-155.081822,0
90,+19.720392,-155.083477,79
91,+19.721243,-155.085826,23
92,+19.722587,-155.086298,67
93,+19.723548,-155.087096,59
94,+19.724209,-155.087953,0
95,+19.723621,-155.088350,26
96,+19.722767,-155.087942,42
97,+19.720301,-155.084721,77
98,+19.719395,-155.085111,30
99,+19.719098,-155.085666,4
100,+19.718386,-155.085354,0
101,+19.718209,-155.084163,263
102,+19.716565,-155.081750,0
103,+19.718876,-155.081316,11
104,+19.719833,-155.082300,0
105,+19.719484,-155.078868,0
106,+19.731459,-155.080984,0
107,+19.741441,-155.082918,0
108,+19.723321,-155.088974,0
109,+19.722934,-155.089469,0
110,+19.722214,-155.088642,94
111,+19.720060,-155.087451,107
112,+19.720701,-155.089241,29
113,+19.722009,-155.090175,37
114,+19.718799,-155.088378,32
115,+19.716709,-155.087199,0
116,+19.717693,-155.086016,6
117,+19.715473,-155.084661,145
118,+19.715047,-155.086586,44
119,+19.717048,-155.089802,166
120,+19.714051,-155.092059,213
121,+19.714863,-155.089204,54
122,+19.714595,-155.087343,28
123,+19.713965,-155.088047,23
124,+19.714118,-155.089485,8
125,+19.713562,-155.088745,7
126,+19.713150,-155.089487,21
127,+19.711354,-155.090370,136
128,+19.712873,-155.087753,61
129,+19.712005,-155.091341,129
130,+19.712546,-155.092317,99
131,+19.720665,-155.091274,168
132,+19.717459,-155.095275,0
133,+19.717878,-155.091840,176
134,+19.715097,-155.095525,129
135,+19.713262,-155.097176,94
136,+19.713562,-155.098428,8
137,+19.711145,-155.095851,46
138,+19.709280,-155.094440,217
139,+19.722459,-155.067131,0
140,+19.724877,-155.067907,0
141,+19.724897,-155.071451,0
142,+19.718221,-155.074868,160
143,+19.715280,-155.078916,162
144,+19.715910,-155.073515,74
145,+19.718225,-155.073538,38
146,+19.718231,-155.072137,113
147,+19.721797,-155.070720,0
148,+19.721809,-155.067898,0
149,+19.718247,-155.067883,25
150,+19.718242,-155.069300,80
151,+19.718236,-155.070733,72
152,+19.715906,-155.070726,30
153,+19.715908,-155.072123,67
154,+19.715903,-155.069289,90
155,+19.715902,-155.067874,37
156,+19.715903,-155.067118,0
157,+19.718800,-155.077022,0
158,+19.713642,-155.067115,4
