block_num,latitude,longitude,total_pop
1,+37.199684,-085.259048,47
2,+37.213049,-085.266677,0
3,+37.212418,-085.265099,0
4,+37.212811,-085.264443,0
5,+37.210770,-085.264785,0
6,+37.212916,-085.274789,1
7,+37.219725,-085.297791,11
8,+37.206191,-085.279318,100
9,+37.203081,-085.275473,0
10,+37.199503,-085.289439,97
11,+37.210212,-085.317324,60
12,+37.211057,-085.299220,16
13,+37.199376,-085.300766,15
14,+37.203241,-085.310348,0
15,+37.197667,-085.315366,74
16,+37.197574,-085.327871,9
17,+37.199436,-085.337150,8
18,+37.201372,-085.339142,24
19,+37.202863,-085.336152,23
20,+37.199460,-085.343600,0
21,+37.192693,-085.338353,10
22,+37.195598,-085.327765,0
23,+37.186969,-085.323801,0
24,+37.184564,-085.330061,0
25,+37.186538,-085.336904,0
26,+37.189340,-085.348404,0
27,+37.182591,-085.352096,10
28,+37.175141,-085.340226,33
29,+37.180469,-085.324433,0
30,+37.180445,-085.321579,10
31,+37.178960,-085.319556,27
32,+37.179943,-085.304767,166
33,+37.194347,-085.297138,7
34,+37.182083,-085.285713,11
35,+37.168211,-085.272642,90
36,+37.181302,-085.272490,12
37,+37.176852,-085.245215,67
38,+37.222236,-085.268053,0
39,+37.178912,-085.323634,9
40,+37.174162,-085.321953,23
41,+37.171060,-085.316045,22
42,+37.158917,-085.322623,41
43,+37.171819,-085.323940,5
44,+37.162366,-085.312165,2
45,+37.157644,-085.309361,22
46,+37.146092,-085.332708,8
47,+37.142739,-085.343011,45
48,+37.164314,-085.364965,52
49,+37.164307,-085.378186,0
50,+37.157240,-085.383070,52
51,+37.167593,-085.379940,0
52,+37.160254,-085.375071,0
53,+37.156833,-085.396593,0
54,+37.158860,-085.397720,0
55,+37.146396,-085.404312,34
56,+37.148513,-085.420531,6
57,+37.145188,-085.416973,3
58,+37.134243,-085.409396,27
59,+37.124802,-085.433435,11
60,+37.125601,-085.402299,0
61,+37.121627,-085.400643,8
62,+37.135615,-085.389176,97
63,+37.141486,-085.381440,16
64,+37.142119,-085.356085,12
65,+37.127689,-085.362244,16
66,+37.135872,-085.367275,0
67,+37.130649,-085.376369,11
68,+37.116570,-085.357751,0
69,+37.136703,-085.333273,47
70,+37.200349,-085.234259,0
71,+37.239431,-085.293976,0
