block_num,latitude,longitude,total_pop
1,+45.610133,-113.447145,2
2,+45.620207,-113.447315,13
3,+45.619171,-113.447033,2
4,+45.618378,-113.447174,2
5,+45.617434,-113.447211,5
6,+45.617034,-113.448594,2
7,+45.617023,-113.449702,0
8,+45.617079,-113.450905,2
9,+45.618451,-113.451456,5
10,+45.615178,-113.452283,16
11,+45.616131,-113.450931,1
12,+45.616120,-113.449742,3
13,+45.616097,-113.448636,8
14,+45.616162,-113.447285,5
15,+45.615332,-113.447333,6
16,+45.615194,-113.448680,2
17,+45.615137,-113.449774,3
18,+45.615148,-113.450963,6
19,+45.614198,-113.451003,0
20,+45.614177,-113.449810,5
21,+45.613262,-113.451015,2
22,+45.611769,-113.452658,9
23,+45.612651,-113.451151,15
24,+45.723429,-112.822263,19
25,+45.777156,-112.856104,2
26,+45.777810,-112.859594,6
27,+45.786122,-112.884269,15
28,+45.782524,-112.889673,4
29,+45.784741,-112.914727,0
30,+45.794843,-112.933577,21
31,+45.801185,-112.970644,10
32,+45.793196,-112.957222,0
33,+45.792341,-112.956738,0
34,+45.774183,-113.000400,33
35,+45.775947,-112.972461,0
36,+45.761364,-112.992246,0
37,+45.767063,-112.979624,0
38,+45.763285,-112.975736,0
39,+45.759818,-112.975143,0
40,+45.789583,-112.954502,0
41,+45.792899,-112.952858,3
42,+45.788961,-112.948928,23
43,+45.786990,-112.947183,3
44,+45.782848,-112.953289,3
45,+45.774435,-112.957044,0
46,+45.730767,-112.944760,6
47,+45.719595,-112.902888,0
48,+45.713825,-112.899433,0
49,+45.699226,-112.905584,0
50,+45.699271,-112.919575,0
51,+45.700113,-112.919458,0
52,+45.699499,-112.925044,0
53,+45.697484,-112.932562,0
54,+45.698898,-112.944033,0
55,+45.699644,-112.948879,0
56,+45.700232,-112.942856,0
57,+45.693785,-112.938332,0
58,+45.691229,-112.931771,0
59,+45.696976,-112.918810,0
60,+45.684289,-112.915170,0
61,+45.699014,-112.890830,0
62,+45.700197,-112.888381,0
63,+45.701241,-112.870182,0
64,+45.680297,-112.825233,0
65,+45.697966,-112.804405,0
66,+45.679510,-112.777197,0
67,+45.695095,-112.761311,0
68,+45.700495,-112.752550,0
69,+45.704269,-112.749770,0
70,+45.760555,-112.785964,3
71,+45.759061,-112.799364,0
72,+45.777496,-112.846393,0
73,+45.777477,-112.856174,8
74,+45.780072,-112.899433,0
75,+45.800657,-112.939662,0
76,+45.805792,-112.974067,0
77,+45.813328,-113.005580,14
78,+45.825465,-113.025547,0
79,+45.828922,-113.026360,0
80,+45.828890,-113.035578,4
81,+45.849376,-113.065251,0
82,+45.866963,-113.120822,0
83,+45.860667,-113.190369,0
84,+45.845910,-113.156440,0
85,+45.840924,-113.139954,0
86,+45.851636,-113.138796,0
87,+45.838003,-113.144111,0
88,+45.835155,-113.164347,0
89,+45.820309,-113.167362,0
90,+45.825988,-113.168531,0
91,+45.825751,-113.153948,0
92,+45.826057,-113.151380,0
93,+45.825745,-113.147433,0
94,+45.818787,-113.093142,11
95,+45.841543,-113.070965,4
96,+45.849779,-113.083776,0
97,+45.848325,-113.066919,0
98,+45.847592,-113.063943,0
99,+45.835251,-113.062496,2
100,+45.832553,-113.049091,3
101,+45.830920,-113.053658,0
102,+45.830703,-113.062121,0
103,+45.826677,-113.069959,0
104,+45.836286,-113.041590,0
105,+45.823066,-113.032910,5
106,+45.823066,-113.030334,1
107,+45.743704,-113.085310,24
108,+45.796829,-113.032287,0
109,+45.786400,-113.025101,0
110,+45.773295,-113.040531,0
111,+45.772747,-113.013958,0
112,+45.769028,-113.008692,0
113,+45.765950,-113.015988,0
114,+45.757767,-112.995520,0
115,+45.746865,-112.999684,3
116,+45.741276,-113.006365,0
117,+45.737074,-113.013111,0
118,+45.739347,-113.015428,1
119,+45.727984,-113.015984,0
120,+45.723623,-113.022508,2
121,+45.718946,-113.022819,1
122,+45.705883,-113.029582,0
123,+45.699939,-113.040555,1
124,+45.698148,-113.040421,0
125,+45.650512,-113.034766,0
126,+45.696251,-113.040353,0
127,+45.696755,-113.044849,0
128,+45.685514,-113.063546,0
129,+45.685208,-113.069495,0
130,+45.682143,-113.066453,0
131,+45.679078,-113.072761,0
132,+45.638982,-113.109307,0
133,+45.671885,-113.064243,0
134,+45.661432,-113.064375,0
135,+45.666986,-113.065644,0
136,+45.648024,-113.071152,0
137,+45.648694,-113.070649,0
138,+45.648666,-113.069642,0
139,+45.645722,-113.070945,0
140,+45.641940,-113.070711,0
141,+45.586465,-113.051687,0
142,+45.636947,-113.076191,0
143,+45.623964,-113.085201,0
144,+45.601817,-113.096386,0
145,+45.611384,-113.088703,0
146,+45.598028,-113.097632,0
147,+45.593623,-113.103630,0
148,+45.579363,-113.129143,0
149,+45.585460,-113.103764,0
150,+45.596159,-113.108304,0
151,+45.599901,-113.115632,0
152,+45.574048,-113.116796,0
153,+45.537690,-113.117528,0
154,+45.555752,-113.091522,0
155,+45.529527,-113.082314,0
156,+45.522131,-113.080197,0
157,+45.524878,-113.065768,0
158,+45.520256,-113.061668,0
159,+45.519002,-113.056695,0
160,+45.511044,-113.025756,0
161,+45.660789,-112.950943,0
162,+45.672989,-112.894816,0
163,+45.670975,-112.895225,0
164,+45.566276,-113.127036,0
165,+45.553222,-113.148515,0
166,+45.558253,-113.146013,0
167,+45.550808,-113.148427,0
168,+45.551292,-113.150544,0
169,+45.667438,-113.298280,1
170,+45.716368,-113.314260,0
171,+45.718820,-113.319036,0
172,+45.719994,-113.320824,0
173,+45.719342,-113.324229,0
174,+45.717763,-113.331105,0
175,+45.735304,-113.374666,0
176,+45.702985,-113.320046,0
177,+45.724709,-113.349167,0
178,+45.733872,-113.340634,0
179,+45.742403,-113.357248,0
180,+45.749401,-113.372548,2
181,+45.802248,-113.338396,2
182,+45.780168,-113.341424,0
183,+45.801387,-113.327117,0
184,+45.807352,-113.329912,0
185,+45.807078,-113.321296,0
186,+45.809202,-113.295752,0
187,+45.803703,-113.312805,0
188,+45.798730,-113.321172,0
189,+45.795040,-113.314583,0
190,+45.795908,-113.309512,0
191,+45.825130,-113.235116,0
192,+45.865430,-113.228060,0
193,+45.824602,-113.147946,0
194,+45.823530,-113.147563,0
195,+45.822937,-113.148740,0
196,+45.810090,-113.156641,0
197,+45.807022,-113.164435,0
198,+45.737459,-113.164716,0
199,+45.803330,-113.161473,0
200,+45.804140,-113.154067,0
201,+45.799797,-113.148844,0
202,+45.796853,-113.152610,0
203,+45.784425,-113.146438,0
204,+45.777705,-113.144740,0
205,+45.776519,-113.145428,0
206,+45.773520,-113.139859,0
207,+45.773934,-113.147522,0
208,+45.769849,-113.144058,0
209,+45.767635,-113.144525,0
210,+45.765893,-113.144045,0
211,+45.758709,-113.146623,0
212,+45.757916,-113.143588,0
213,+45.771868,-113.179003,0
214,+45.781402,-113.183862,0
215,+45.785814,-113.180781,0
216,+45.719371,-113.185017,0
217,+45.707093,-113.183581,0
218,+45.681653,-113.181848,0
219,+45.679283,-113.189487,0
220,+45.668885,-113.215592,0
221,+45.660345,-113.226251,0
222,+45.658544,-113.222853,0
223,+45.612514,-113.335922,0
224,+45.601609,-113.370086,2
225,+45.602532,-113.379873,0
226,+45.603128,-113.413113,5
227,+45.611002,-113.430039,0
228,+45.637674,-113.426046,2
229,+45.677172,-113.451872,0
230,+45.714466,-113.420822,0
231,+45.758463,-113.403030,0
232,+45.784098,-113.414674,2
233,+45.820453,-113.578743,10
234,+45.767277,-113.644707,0
235,+45.758940,-113.647574,0
236,+45.746154,-113.658240,0
237,+45.740181,-113.775835,0
238,+45.775705,-113.790204,0
239,+45.766627,-113.800841,0
240,+45.775919,-113.759486,0
241,+45.728412,-113.774368,0
242,+45.707963,-113.730146,0
243,+45.697899,-113.693184,0
244,+45.704159,-113.650660,0
245,+45.697001,-113.608883,4
246,+45.698300,-113.577319,0
247,+45.699156,-113.560336,0
248,+45.699125,-113.556628,0
249,+45.704499,-113.523068,0
250,+45.718269,-113.467190,1
251,+45.719447,-113.435150,0
252,+45.735198,-113.426076,0
253,+45.773611,-113.448658,0
254,+45.781129,-113.447046,0
255,+45.786578,-113.433851,10
256,+45.782190,-113.471985,0
257,+45.767628,-113.481559,0
258,+45.785210,-113.492660,0
259,+45.760779,-113.452827,1
260,+45.756649,-113.456988,0
261,+45.738651,-113.452451,0
262,+45.742795,-113.479647,0
263,+45.739322,-113.441744,0
264,+45.734755,-113.455262,0
265,+45.738950,-113.463574,0
266,+45.738395,-113.469693,0
267,+45.741322,-113.498619,0
268,+45.716131,-113.502743,0
269,+45.717582,-113.484518,0
270,+45.708620,-113.473282,0
271,+45.706163,-113.469588,0
272,+45.712142,-113.450306,4
273,+45.704338,-113.446303,0
274,+45.682305,-113.505114,2
275,+45.699671,-113.535973,0
276,+45.692987,-113.571493,0
277,+45.675090,-113.575883,0
278,+45.685426,-113.620390,1
279,+45.669999,-113.664204,0
280,+45.677600,-113.700873,0
281,+45.682056,-113.696151,0
282,+45.681816,-113.699599,0
283,+45.681473,-113.702925,0
284,+45.678030,-113.707907,0
285,+45.682284,-113.704488,0
286,+45.681449,-113.706453,0
287,+45.679908,-113.717778,0
288,+45.669708,-113.706593,0
289,+45.659743,-113.701528,0
290,+45.652226,-113.710796,0
291,+45.657054,-113.720093,0
292,+45.637222,-113.791040,0
293,+45.672587,-113.931183,0
294,+45.658504,-113.919494,0
295,+45.653329,-113.908901,0
296,+45.637445,-113.902104,0
297,+45.623103,-113.904283,1
298,+45.674798,-113.882762,0
299,+45.678158,-113.894700,0
300,+45.684218,-113.868703,0
301,+45.715992,-113.880310,0
302,+45.722907,-113.896408,0
303,+45.738560,-113.906949,0
304,+45.709108,-113.900737,0
305,+45.697017,-113.901415,0
306,+45.691176,-113.911772,0
307,+45.685137,-113.933354,0
308,+45.696443,-113.936488,0
309,+45.697120,-113.928577,0
310,+45.703559,-113.921567,0
311,+45.680098,-113.906184,0
312,+45.678703,-113.901456,0
313,+45.675686,-113.878118,0
314,+45.673244,-113.870572,0
315,+45.672875,-113.866429,0
316,+45.672046,-113.866665,0
317,+45.664360,-113.822005,0
318,+45.665331,-113.816863,0
319,+45.662297,-113.816112,0
320,+45.666556,-113.817405,0
321,+45.672695,-113.827038,0
322,+45.654262,-113.786079,0
323,+45.655106,-113.781242,0
324,+45.655320,-113.773664,0
325,+45.654414,-113.779644,0
326,+45.651217,-113.781921,0
327,+45.654996,-113.766714,0
328,+45.656316,-113.758472,0
329,+45.658488,-113.748814,0
330,+45.659191,-113.744009,0
331,+45.658552,-113.729287,0
332,+45.631852,-113.724483,0
333,+45.630762,-113.720107,0
334,+45.626567,-113.726838,0
335,+45.629616,-113.718264,0
336,+45.628927,-113.716420,0
337,+45.626196,-113.714052,0
338,+45.623438,-113.706645,0
339,+45.624535,-113.706922,0
340,+45.617107,-113.693091,0
341,+45.620685,-113.700482,0
342,+45.617766,-113.691193,0
343,+45.618079,-113.689160,0
344,+45.619381,-113.685206,0
345,+45.618547,-113.684434,0
346,+45.620844,-113.681102,0
347,+45.626943,-113.674987,1
348,+45.623034,-113.682509,0
349,+45.618205,-113.681829,0
350,+45.609766,-113.680888,0
351,+45.603188,-113.682587,0
352,+45.603797,-113.674511,0
353,+45.597301,-113.683014,0
354,+45.587361,-113.673446,0
355,+45.568418,-113.689891,0
356,+45.617848,-113.665179,4
357,+45.631992,-113.660330,0
358,+45.641415,-113.656928,0
359,+45.640879,-113.669271,0
360,+45.635027,-113.664555,0
361,+45.636869,-113.660492,0
362,+45.638255,-113.660268,0
363,+45.637655,-113.643110,19
364,+45.657576,-113.627627,0
365,+45.640643,-113.642836,0
366,+45.595349,-113.616249,0
367,+45.627659,-113.550649,0
368,+45.627621,-113.574830,0
369,+45.628141,-113.561062,0
370,+45.626140,-113.562115,0
371,+45.607470,-113.558495,4
372,+45.622605,-113.526224,0
373,+45.633846,-113.516106,3
374,+45.636376,-113.479170,2
375,+45.657082,-113.459329,8
376,+45.660418,-113.462633,0
377,+45.643319,-113.448086,3
378,+45.628293,-113.442841,1
379,+45.602021,-113.437779,0
380,+45.600509,-113.436618,0
381,+45.593039,-113.448528,0
382,+45.589199,-113.459957,5
383,+45.571281,-113.567725,0
384,+45.624739,-113.473114,1
385,+45.588937,-113.476626,0
386,+45.562569,-113.498577,0
387,+45.567376,-113.489907,4
388,+45.560148,-113.488959,0
389,+45.565173,-113.484659,0
390,+45.544812,-113.472502,0
391,+45.561134,-113.469605,7
392,+45.529377,-113.449633,3
393,+45.577956,-113.455169,0
394,+45.555506,-113.421314,0
395,+45.587906,-113.437804,0
396,+45.590938,-113.423050,0
397,+45.588792,-113.395079,0
398,+45.558474,-113.362348,0
399,+45.580499,-113.403558,0
400,+45.546069,-113.420656,0
401,+45.528756,-113.400446,0
402,+45.479889,-113.404751,0
403,+45.512507,-113.369690,0
404,+45.445706,-113.378732,14
405,+45.514127,-113.363328,0
406,+45.530396,-113.284663,0
407,+45.476981,-113.222854,0
408,+45.481502,-113.288064,0
409,+45.518593,-113.203567,0
410,+45.515831,-113.197427,0
411,+45.534274,-113.170258,0
412,+45.546042,-113.149192,0
413,+45.545214,-113.150790,0
414,+45.549053,-113.150405,0
415,+45.512882,-113.127118,0
416,+45.517982,-113.103121,0
417,+45.519270,-113.096678,0
418,+45.496782,-113.083457,0
419,+45.514636,-113.099245,0
420,+45.390714,-113.270983,4
421,+45.408996,-113.325464,0
422,+45.361656,-113.384110,0
423,+45.369355,-113.373928,4
424,+45.346514,-113.385226,0
425,+45.358750,-113.415585,9
426,+45.363752,-113.417000,0
427,+45.389258,-113.429183,31
428,+45.417003,-113.441850,7
429,+45.432691,-113.447413,0
430,+45.442970,-113.455955,3
431,+45.452807,-113.465869,12
432,+45.450136,-113.441881,0
433,+45.436888,-113.454107,0
434,+45.438794,-113.461019,0
435,+45.436249,-113.480816,4
436,+45.446115,-113.490912,0
437,+45.458070,-113.481617,0
438,+45.461481,-113.481952,0
439,+45.470693,-113.485242,0
440,+45.482322,-113.494154,0
441,+45.488475,-113.522302,1
442,+45.540978,-113.497632,0
443,+45.553108,-113.497678,4
444,+45.553317,-113.507920,4
445,+45.537100,-113.509060,2
446,+45.544467,-113.521537,5
447,+45.543561,-113.568912,0
448,+45.551122,-113.625609,0
449,+45.529022,-113.777082,1
450,+45.552633,-113.781700,0
451,+45.548468,-113.766686,0
452,+45.545840,-113.743048,0
453,+45.546975,-113.739054,0
454,+45.553890,-113.723595,0
455,+45.557318,-113.720624,0
456,+45.565296,-113.704865,0
457,+45.572339,-113.693559,0
458,+45.576462,-113.694879,0
459,+45.583910,-113.692058,0
460,+45.602973,-113.699065,0
461,+45.604858,-113.705929,0
462,+45.603623,-113.706656,0
463,+45.566146,-113.709027,0
464,+45.561565,-113.716092,0
465,+45.559405,-113.720662,0
466,+45.558647,-113.731602,0
467,+45.548768,-113.720843,0
468,+45.544232,-113.720275,0
469,+45.542989,-113.717392,0
470,+45.548627,-113.718267,0
471,+45.540194,-113.710907,0
472,+45.534784,-113.712489,0
473,+45.540794,-113.716598,0
474,+45.541938,-113.713815,0
475,+45.544681,-113.707246,0
476,+45.555194,-113.705939,0
477,+45.549715,-113.704351,0
478,+45.553435,-113.699469,0
479,+45.558203,-113.694607,0
480,+45.561835,-113.698115,0
481,+45.556951,-113.709703,0
482,+45.565043,-113.690812,0
483,+45.564190,-113.689134,0
484,+45.557086,-113.691165,0
485,+45.561591,-113.680185,0
486,+45.562019,-113.692359,0
487,+45.563775,-113.692843,0
488,+45.535724,-113.650029,0
489,+45.521980,-113.607559,0
490,+45.534778,-113.547061,0
491,+45.513730,-113.572169,0
492,+45.508413,-113.569511,5
493,+45.486468,-113.566173,0
494,+45.478404,-113.600577,0
495,+45.492783,-113.600358,0
496,+45.493113,-113.647458,0
497,+45.527742,-113.648331,0
498,+45.519517,-113.644976,0
499,+45.505381,-113.643660,0
500,+45.500815,-113.634573,0
501,+45.476402,-113.613555,0
502,+45.478780,-113.607883,0
503,+45.476857,-113.607037,0
504,+45.325026,-113.655891,0
505,+45.474097,-113.616670,0
506,+45.455392,-113.617512,0
507,+45.454433,-113.618293,0
508,+45.456318,-113.591055,0
509,+45.466691,-113.586526,0
510,+45.443014,-113.553263,9
511,+45.468226,-113.518044,0
512,+45.479871,-113.504458,0
513,+45.471852,-113.494106,0
514,+45.464784,-113.494098,0
515,+45.459934,-113.494561,0
516,+45.459373,-113.480059,0
517,+45.462316,-113.476946,0
518,+45.469493,-113.470726,0
519,+45.509328,-113.471765,11
520,+45.517688,-113.488011,0
521,+45.525009,-113.488020,0
522,+45.527345,-113.496084,5
523,+45.528673,-113.485415,0
524,+45.533051,-113.488474,0
525,+45.483838,-113.485034,0
526,+45.478842,-113.479414,0
527,+45.471963,-113.479139,0
528,+45.473053,-113.483156,7
529,+45.458721,-113.476504,0
530,+45.459595,-113.468792,0
531,+45.453331,-113.474214,0
532,+45.433781,-113.468449,0
533,+45.422142,-113.479015,0
534,+45.409827,-113.493515,0
535,+45.424295,-113.454125,0
536,+45.407563,-113.465511,0
537,+45.408009,-113.446042,0
538,+45.405886,-113.455371,0
539,+45.404291,-113.454140,0
540,+45.396192,-113.465061,0
541,+45.400999,-113.475925,0
542,+45.399208,-113.488778,1
543,+45.411923,-113.471749,5
544,+45.373467,-113.535066,1
545,+45.403205,-113.517221,0
546,+45.395769,-113.528188,0
547,+45.408022,-113.546499,0
548,+45.434291,-113.515436,0
549,+45.432341,-113.508474,0
550,+45.427384,-113.495066,8
551,+45.416292,-113.515290,4
552,+45.429911,-113.529846,0
553,+45.467061,-113.557259,0
554,+45.433558,-113.615012,0
555,+45.396744,-113.585497,0
556,+45.390486,-113.603467,0
557,+45.386932,-113.626018,0
558,+45.352902,-113.689424,0
559,+45.334231,-113.722726,0
560,+45.333765,-113.643900,0
561,+45.307276,-113.597487,0
562,+45.322440,-113.579015,0
563,+45.348220,-113.571546,0
564,+45.338266,-113.519532,0
