block_num,latitude,longitude,total_pop
1,+43.416722,-071.177856,9
2,+43.406262,-071.186310,91
3,+43.413246,-071.210315,41
4,+43.417519,-071.210352,74
5,+43.440670,-071.227101,150
6,+43.424561,-071.207461,0
7,+43.423190,-071.210585,0
8,+43.417778,-071.222617,9
9,+43.415225,-071.236499,159
10,+43.432563,-071.243119,4
11,+43.431639,-071.252258,35
12,+43.428053,-071.262136,25
13,+43.411268,-071.261777,20
14,+43.406669,-071.235393,172
15,+43.400228,-071.220362,30
16,+43.394657,-071.217693,42
17,+43.399155,-071.239795,18
18,+43.395401,-071.225881,9
19,+43.390952,-071.214668,0
20,+43.390575,-071.214956,0
21,+43.390142,-071.214441,0
22,+43.392440,-071.211238,14
23,+43.384050,-071.195934,67
24,+43.387142,-071.218202,14
25,+43.389748,-071.214156,0
26,+43.375069,-071.190533,10
27,+43.369153,-071.173204,18
28,+43.378940,-071.171159,24
29,+43.359942,-071.163966,0
30,+43.450640,-071.215063,23
31,+43.451545,-071.220063,38
32,+43.453312,-071.220850,31
33,+43.454097,-071.222648,35
34,+43.453128,-071.225067,37
35,+43.391784,-071.224097,0
36,+43.447963,-071.221253,0
37,+43.539113,-071.176937,6
38,+43.553786,-071.192903,0
39,+43.551912,-071.195279,4
40,+43.554043,-071.200277,0
41,+43.553582,-071.200711,0
42,+43.553190,-071.201042,0
43,+43.549129,-071.201232,1
44,+43.547739,-071.199051,11
45,+43.548105,-071.195441,0
46,+43.546149,-071.197407,3
47,+43.539788,-071.200280,0
48,+43.544491,-071.200759,0
49,+43.542320,-071.204335,10
50,+43.548507,-071.205186,3
51,+43.546554,-071.207804,0
52,+43.545825,-071.214340,40
53,+43.545123,-071.223011,19
54,+43.541696,-071.223633,4
55,+43.539835,-071.223611,32
56,+43.536533,-071.209538,25
57,+43.537132,-071.217842,10
58,+43.535746,-071.201857,3
59,+43.535402,-071.193965,14
60,+43.530706,-071.180676,9
61,+43.521233,-071.191507,24
62,+43.531098,-071.193389,16
63,+43.526618,-071.200524,6
64,+43.527698,-071.208067,2
65,+43.519648,-071.208783,0
66,+43.513927,-071.212717,4
67,+43.498893,-071.210244,92
68,+43.481888,-071.190309,3
69,+43.474049,-071.203128,63
70,+43.461132,-071.202994,129
71,+43.455856,-071.218780,77
72,+43.455052,-071.220231,0
73,+43.454380,-071.219225,0
74,+43.450972,-071.211533,1
75,+43.436839,-071.183739,47
76,+43.433163,-071.183353,54
77,+43.444391,-071.208550,0
78,+43.445650,-071.207508,0
79,+43.426487,-071.194359,124
80,+43.431357,-071.202289,16
81,+43.419774,-071.195156,24
82,+43.554961,-071.222401,61
83,+43.551240,-071.254040,0
84,+43.442014,-071.200906,0
85,+43.488762,-071.194617,0
86,+43.562824,-071.236844,0
87,+43.525618,-071.217618,12
88,+43.530111,-071.231630,4
89,+43.527870,-071.229948,2
90,+43.527008,-071.231056,0
91,+43.524452,-071.229526,6
92,+43.524798,-071.243760,57
93,+43.517590,-071.244569,135
94,+43.508144,-071.241295,0
95,+43.503784,-071.245393,52
96,+43.508369,-071.249205,0
97,+43.504945,-071.249923,15
98,+43.503487,-071.251987,5
99,+43.503245,-071.250162,8
100,+43.497482,-071.245740,43
101,+43.500073,-071.244676,1
102,+43.490889,-071.237779,203
103,+43.491784,-071.243806,0
104,+43.489788,-071.250162,0
105,+43.494175,-071.253949,27
106,+43.497760,-071.258221,28
107,+43.523229,-071.268900,82
108,+43.534595,-071.269552,9
109,+43.503511,-071.263939,28
110,+43.525850,-071.268764,9
111,+43.533339,-071.259743,0
112,+43.538702,-071.286848,2
113,+43.543034,-071.286983,7
114,+43.542169,-071.291571,4
115,+43.517200,-071.233829,0
116,+43.512545,-071.226767,45
117,+43.521711,-071.226094,0
118,+43.519274,-071.218220,0
119,+43.517516,-071.216366,0
120,+43.519245,-071.214431,0
121,+43.505256,-071.228932,64
122,+43.502730,-071.226292,6
123,+43.489861,-071.224951,37
124,+43.486292,-071.226149,15
125,+43.478364,-071.223778,14
126,+43.469293,-071.222186,7
127,+43.469095,-071.228966,191
128,+43.456889,-071.221776,0
129,+43.474247,-071.234862,4
