block_num,latitude,longitude,total_pop
1,+39.808533,-118.498624,0
2,+39.614277,-118.560131,0
3,+39.655598,-118.527318,0
4,+39.672773,-118.434745,0
5,+39.660100,-118.385602,0
6,+39.714000,-118.434601,0
7,+39.998346,-118.191100,0
8,+39.998942,-118.408444,0
9,+39.951923,-118.582176,0
10,+39.956373,-118.413083,0
11,+39.998485,-118.639637,0
12,+39.974706,-118.689217,0
13,+39.966735,-118.686903,0
14,+39.955263,-118.706508,0
15,+39.943390,-118.699434,0
16,+39.937773,-118.698473,0
17,+39.929178,-118.704336,0
18,+39.911808,-118.706392,0
19,+39.913781,-118.693308,0
20,+39.905846,-118.702124,0
21,+39.866753,-118.733066,0
22,+39.905678,-118.713937,0
23,+39.907564,-118.721492,0
24,+39.912933,-118.724092,0
25,+39.922352,-118.735947,0
26,+39.943442,-118.731107,0
27,+39.940627,-118.713915,0
28,+39.947150,-118.704384,0
29,+39.908319,-118.744428,0
30,+39.901422,-118.734275,0
31,+39.847538,-118.764415,0
32,+39.848390,-118.775634,0
33,+39.838328,-118.774841,0
34,+39.829334,-118.774118,0
35,+39.823455,-118.773651,0
36,+39.759245,-118.734936,0
37,+39.752841,-118.754290,0
38,+39.701964,-118.753787,0
39,+39.685878,-118.772053,0
40,+39.995382,-118.624440,0
41,+39.991680,-118.664255,0
42,+39.707233,-118.437200,0
43,+39.683870,-118.431644,0
44,+39.678640,-118.397918,0
45,+39.981367,-118.688466,0
46,+39.993042,-118.695114,0
47,+39.992195,-118.719726,0
48,+39.990583,-118.718173,0
49,+39.951647,-118.748361,0
50,+39.991423,-118.738546,0
51,+39.988382,-118.771136,0
52,+39.979606,-118.761514,0
53,+39.968933,-118.810117,0
54,+39.941904,-118.782248,0
55,+39.932544,-118.773897,0
56,+39.962402,-118.703869,0
57,+39.918954,-118.770546,0
58,+39.923327,-118.778749,0
59,+39.917579,-118.795603,0
60,+39.815895,-118.878248,8
61,+39.888237,-118.861378,0
62,+39.865564,-118.973158,0
63,+39.888787,-118.918437,0
64,+39.934634,-118.921377,0
65,+39.948470,-118.937226,0
66,+39.992503,-118.834229,0
67,+39.949311,-118.860432,0
68,+39.942822,-118.833880,0
69,+39.924671,-118.877713,0
70,+39.947946,-118.870594,0
71,+39.988013,-118.988823,0
72,+39.980245,-119.036885,0
73,+39.976691,-119.064357,0
74,+39.990374,-119.091052,0
75,+39.960821,-119.096207,0
76,+39.997443,-119.142880,0
77,+39.998657,-119.175747,0
78,+39.928502,-119.121764,0
79,+39.997458,-119.223061,0
80,+39.939479,-119.091866,0
81,+39.938968,-119.082564,0
82,+39.941160,-119.047683,0
83,+39.921445,-119.069727,0
84,+39.889129,-119.056750,0
85,+39.896175,-119.062137,0
86,+39.877777,-119.067910,0
87,+39.876480,-119.079993,0
88,+39.879551,-119.128658,0
89,+39.826241,-119.118202,16
90,+39.740972,-119.104517,0
91,+39.726754,-119.088409,0
92,+39.752375,-119.061672,0
93,+39.784769,-119.027360,0
