block_num,latitude,longitude,total_pop
1,+43.578808,-098.334730,4
2,+43.578678,-098.355245,7
3,+43.578616,-098.374820,6
4,+43.578435,-098.394349,0
5,+43.578375,-098.413688,6
6,+43.578287,-098.432073,2
7,+43.563500,-098.431355,1
8,+43.548897,-098.430765,4
9,+43.549055,-098.411873,0
10,+43.563612,-098.412679,2
11,+43.563628,-098.393167,2
12,+43.563659,-098.373566,0
13,+43.563793,-098.353963,9
14,+43.563823,-098.334048,3
15,+43.549215,-098.333245,8
16,+43.549292,-098.353152,2
17,+43.549216,-098.372792,2
18,+43.549120,-098.392415,0
19,+43.534685,-098.391644,5
20,+43.537099,-098.372191,4
21,+43.534692,-098.352328,12
22,+43.534715,-098.332453,2
23,+43.520251,-098.331706,9
24,+43.520215,-098.351440,9
25,+43.520227,-098.373856,0
26,+43.520197,-098.390784,6
27,+43.520168,-098.410319,2
28,+43.534613,-098.411223,2
29,+43.534478,-098.430346,0
30,+43.527652,-098.438928,0
31,+43.515275,-098.433576,2
32,+43.524979,-098.428498,2
33,+43.511623,-098.422137,0
34,+43.505876,-098.399413,6
35,+43.501220,-098.369933,3
36,+43.505916,-098.330621,0
37,+43.502442,-098.344864,1
38,+43.503492,-098.428640,4
39,+43.862198,-098.353642,7
40,+43.863210,-098.350381,0
41,+43.930617,-098.341799,2
42,+43.930209,-098.381851,4
43,+43.930146,-098.401792,6
44,+43.930043,-098.421877,8
45,+43.932222,-098.441788,2
46,+43.900687,-098.441759,5
47,+43.914020,-098.441750,0
48,+43.917961,-098.421873,2
49,+43.910666,-098.389397,2
50,+43.916031,-098.361787,0
51,+43.916119,-098.341731,8
52,+43.900356,-098.341612,1
53,+43.901402,-098.361632,22
54,+43.906105,-098.385249,6
55,+43.905786,-098.418387,2
56,+43.886250,-098.422313,6
57,+43.886085,-098.441643,2
58,+43.876516,-098.441544,0
59,+43.871769,-098.421537,7
60,+43.874491,-098.397892,0
61,+43.886709,-098.381971,5
62,+43.886955,-098.361581,8
63,+43.887212,-098.341589,1
64,+43.872691,-098.341621,6
65,+43.872537,-098.361592,8
66,+43.877203,-098.380961,4
67,+43.855458,-098.377549,43
68,+43.858296,-098.341611,5
69,+43.851083,-098.351950,0
70,+43.857543,-098.405536,2
71,+43.857294,-098.421453,3
72,+43.854626,-098.444507,0
73,+43.911082,-098.466466,6
74,+43.929613,-098.477637,2
75,+43.923281,-098.513040,9
76,+43.932885,-098.525618,1
77,+43.929412,-098.540938,5
78,+43.929412,-098.555758,0
79,+43.929428,-098.565524,0
80,+43.909127,-098.560724,4
81,+43.918527,-098.555790,0
82,+43.915037,-098.545857,0
83,+43.903473,-098.545898,2
84,+43.900315,-098.560730,0
85,+43.877847,-098.556180,0
86,+43.886257,-098.521016,0
87,+43.889805,-098.481152,3
88,+43.900604,-098.461688,5
89,+43.886007,-098.461610,4
90,+43.871438,-098.461455,3
91,+43.856995,-098.461519,0
92,+43.856820,-098.481573,0
93,+43.871247,-098.481546,1
94,+43.871291,-098.501529,4
95,+43.856723,-098.501479,0
96,+43.859174,-098.531135,0
97,+43.856098,-098.560664,2
98,+43.850253,-098.490659,0
99,+43.527569,-098.589411,11
100,+43.526487,-098.589294,4
101,+43.577988,-098.605221,1
102,+43.578000,-098.575332,2
103,+43.563560,-098.565425,6
104,+43.563400,-098.585072,8
105,+43.558288,-098.605789,6
106,+43.563561,-098.625413,2
107,+43.577912,-098.625079,2
108,+43.577918,-098.654631,1
109,+43.563811,-098.665499,7
110,+43.548892,-098.645567,5
111,+43.520133,-098.646469,12
112,+43.534262,-098.645795,6
113,+43.534255,-098.606044,0
114,+43.548892,-098.606061,0
115,+43.548795,-098.585035,6
116,+43.549128,-098.565498,2
117,+43.534583,-098.565684,1
118,+43.541253,-098.574264,0
119,+43.534214,-098.584555,4
120,+43.519761,-098.585177,5
121,+43.527447,-098.575742,0
122,+43.520232,-098.565983,4
123,+43.506355,-098.566776,0
124,+43.505840,-098.586278,11
125,+43.505740,-098.606567,2
126,+43.519824,-098.605970,4
127,+43.499327,-098.598023,0
